7.47E-6 2.06 9.93 -3.89 6e3 1e5
1.00E-5 0.0 0.0 0.0 1e3 1e7
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
1.26 0.96 3.02 -0.65 1e3 3e4
1.00E-5 0.0 0.0 0.0 2e3 5e4
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 2e3 5e4
1.00E-5 0.0 0.0 0.0 2e3 5e4
5.17 0.82 -0.69 -1.12 2e3 5e4
0.0 0.0 0.0 0.0 0.0 0.0
2.00E-2 0.0 0.0 0.0 1e3 1e9
1.00E-5 0.0 0.0 0.0 2e3 5e4
2.74 0.93 -0.61 -1.13 2e3 5e4
4.88E-7 3.25 -1.12 -0.21 5.5e3 1e5
1.67E-4 2.79 304.72 -4.07 5e3 5e4
3.25 0.21 0.19 -3.29 1e3 1e5
332.46 -0.11 -9.95E-1 -1.58E-3 1e1 1e5
1.01E-3 -0.29 -0.92 -8.38 1e2 5e4
3.05E-1 0.60 2.65 -0.93 1e3 1e5
4.54 0.57 -0.65 -0.89 1e1 1e5
2.95 0.55 -0.39 -1.07 1e3 1e6
1.04 3.15E-2 -0.61 -9.73 1e1 1e4
1.04 0.27 2.02 -5.92 1e2 1e5
3.98 0.26 0.56 -2.62 1e3 5e4
2.52E-1 0.63 2.08 -4.16 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 2e3 5e4
9.86 0.29 -0.21 -1.15 2e3 5e4
7.15E-1 1.21 -0.70 -0.85 2e3 5e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 5e3 5e4
14.73 4.52E-2 -0.84 -0.31 5e3 5e4
6.47 0.54 3.59 -5.22 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 2e3 5e4
1.33 1.15 1.20 -0.32 2e3 5e4
1.01E-1 1.34 10.05 -6.41 2e3 5e4
0.0 0.0 0.0 0.0 0.0 0.0
8.58E-5 2.49E-3 2.93E-2 -4.33 1e3 3e4
6.49 0.53 2.82 -7.63 1e3 3e4
6.36 0.55 3.86 -5.19 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 1e3 3e4
7.11E-5 4.12 1.72e4 -22.24 1e3 3e4
7.52E-1 0.77 6.24 -5.67 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
6.77 7.36E-2 -0.43 -0.11 5e2 1e5
4.90E-1 -8.74E-2 -0.36 -0.79 1e3 3e4
7.58 0.37 1.06 -4.09 1e3 5e4
0.0 0.0 0.0 0.0 0.0 0.0
1.74E-4 3.84 36.06 -0.97 1e3 3e4
9.46E-2 -5.58E-2 0.77 -6.43 1e3 3e4
5.37 0.47 2.21 -8.52 1e3 3e4
3.82E-7 11.10 2.57e4 -8.22 1e3 1e4
1.00E-5 0.0 0.0 0.0 1e3 3e4
2.29 4.02E-2 1.59 -6.06 1e3 3e4
6.44 0.13 2.69 -5.69 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 1e3 3e4
1.88 0.32 1.77 -5.70 1e3 3e4
7.27 0.29 1.04 -10.14 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 1e3 3e4
4.57 0.27 -0.18 -1.57 1e3 3e4
6.37 0.85 10.21 -6.22 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 1e3 3e4
4.76 0.44 -0.56 -0.88 1e3 3e4
1.00E-5 0.0 0.0 0.0 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 1e1 1e9
3.17E-2 2.12 12.06 -0.40 1e3 3e4
2.68 0.69 -0.68 -4.47 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 1e1 1e9
7.22E-3 2.34 411.50 -13.24 1e3 3e4
1.20E-1 1.48 4.00 -9.33 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 1e1 1e9
6.34E-1 6.87E-3 0.18 -8.04 1e3 3e4
4.37E-3 1.25 40.02 -8.05 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
1.00E-5 0.0 0.0 0.0 1e3 3e4
5.12 -2.18E-2 -0.24 -0.83 1e3 3e4
1.96E-1 -8.53E-3 0.28 -6.46 1e3 3e4
0.0 0.0 0.0 0.0 0.0 0.0
