1.411411136709473792e-24 1.799461060407162073e-25 3.952232891593110617e-26 1.380802174720311264e-26 7.794840891672153396e-27 2.910310772368660367e-27
1.765325676836742280e-24 2.231579802838650513e-25 4.797026457001521602e-26 1.673019885281924117e-26 9.068265523175672690e-27 3.380093950479085149e-27
2.210998326016725177e-24 2.765670117992888933e-25 5.818012647483198272e-26 2.024732836775416724e-26 1.052477125059924003e-26 3.913956797532544049e-27
2.767711318957295941e-24 3.423771715949746255e-25 7.049132044584094970e-26 2.446882836688172278e-26 1.218466971272290003e-26 4.516580272919013959e-27
3.459518116832051624e-24 4.232251352783616635e-25 8.530339631662889348e-26 2.952210140473413725e-26 1.406324712702026916e-26 5.190524835705178367e-27
4.314705863304656704e-24 5.221760714849658557e-25 1.030644542086468255e-25 3.554987557917518938e-26 1.618512090677979865e-26 5.940112091237623003e-27
5.365585277803554736e-24 6.426807930801254235e-25 1.242778861006662401e-25 4.271205116641259233e-26 1.858406468722615936e-26 6.770737883399445036e-27
6.651124959913322982e-24 7.887109285817436961e-25 1.495205410050420309e-25 5.118968707998817894e-26 2.129206385758223514e-26 7.685921503232071509e-27
8.211517276291488454e-24 9.643950826538208695e-25 1.793561624447990297e-25 6.115585200875380836e-26 2.435132544136983091e-26 8.691794861164851219e-27
1.009518512368908568e-23 1.174488742699945013e-24 2.144210922000681103e-25 7.281102353070421418e-26 2.780510654773594293e-26 9.794595753970224113e-27
1.234988468364262130e-23 1.423268613574272395e-24 2.553042576196029980e-25 8.633602309457287025e-26 3.169898467167157564e-26 1.100312475968168422e-26
1.502749369016285155e-23 1.715529736155188926e-24 3.025048619670755646e-25 1.018779526804300872e-25 3.607153928987585568e-26 1.232637131317953002e-26
1.817362789308787177e-23 2.054437257926208799e-24 3.563560506768439185e-25 1.195377078852070040e-25 4.095358850702731850e-26 1.377373853079304187e-26
2.183071934746330895e-23 2.442755478860548412e-24 4.169186037595619829e-25 1.393320363709428748e-25 4.636531194209000497e-26 1.535339970433130648e-26
2.602523285195279278e-23 2.880264679684524768e-24 4.837273689281936230e-25 1.611069134899030665e-25 5.230634345680721748e-26 1.706914727596076000e-26
3.076246664159754090e-23 3.363538083853516245e-24 5.556721036846452554e-25 1.845300016718834563e-25 5.875024693486451911e-26 1.892039831732693325e-26
3.600783882830042459e-23 3.884215054899562311e-24 6.306322087290327151e-25 2.089678850518782728e-25 6.561246005745822227e-26 2.089067000485952026e-26
4.167995885264986296e-23 4.426668165948230538e-24 7.051304072182263369e-25 2.333880146943791207e-25 7.274461447820385003e-26 2.294106525738885310e-26
4.762826522312163131e-23 4.967638570502268013e-24 7.740567564151692924e-25 2.562688930013665587e-25 7.990812808135773123e-26 2.500915828571050578e-26
5.361069695779186841e-23 5.473266539713439258e-24 8.299708241227917303e-25 2.754175479103557624e-25 8.680064298443694232e-26 2.700529810381622154e-26
5.943712989034432929e-23 5.922126818760808567e-24 8.696171464781933009e-25 2.896214487802076533e-25 9.304028715125539522e-26 2.881766902325064832e-26
6.500540834112521460e-23 6.297772009750573652e-24 8.919113102821246572e-25 2.983212320328565283e-25 9.821645240275495109e-26 3.032019349155107726e-26
7.035152833500193658e-23 6.571390960449077623e-24 8.928482351762911531e-25 3.001533168115591446e-25 1.018891903972578130e-25 3.137872950353207654e-26
7.604733383136146770e-23 6.717954856079682887e-24 8.691679038812024676e-25 2.939942028225562108e-25 1.037133897380702664e-25 3.190291186423056143e-26
8.191615551501902278e-23 6.720726540299133299e-24 8.195614865572649270e-25 2.793113377909167118e-25 1.034857408116253020e-25 3.184012950637017589e-26
8.675139208130511904e-23 6.573426833768704288e-24 7.445731210079668226e-25 2.561499820108797006e-25 1.009868180871224245e-25 3.111785613302850102e-26
9.033974123215131730e-23 6.286180905708466732e-24 6.472815346688208398e-25 2.253913280287324871e-25 9.623571195431267006e-26 2.972927619693256557e-26
9.253481448679719751e-23 5.883766708407735793e-24 5.333909953540668415e-25 1.887215677567382773e-25 8.942191587079167551e-26 2.773084901309080325e-26
9.327230811137970013e-23 5.401041316533198076e-24 4.114129036351606141e-25 1.486949698762318104e-25 8.090144203792100520e-26 2.522716357600869205e-26
9.265100066370287848e-23 4.878928747610516367e-24 2.932504891045370230e-25 1.089097672972674332e-25 7.114862294212624016e-26 2.236040713503264818e-26
9.086499281851346106e-23 4.371479282924583980e-24 1.925254704344138394e-25 7.361970764744534074e-26 6.072045559208889218e-26 1.929167644035694623e-26
8.815846660140269868e-23 3.918221147863766871e-24 1.179933535160236220e-25 4.614805325131657975e-26 5.018052270638416024e-26 1.618423682558710581e-26
8.477220953217687339e-23 3.532202732819387099e-24 6.918654583810227209e-26 2.723221209279297798e-26 4.009491076541874726e-26 1.318833113352186009e-26
8.092673014269422791e-23 3.210176269806417029e-24 3.992172839081889550e-26 1.539018483726800795e-26 3.094934930563118804e-26 1.043138856780390895e-26
7.682347024734032604e-23 2.944742418014669668e-24 2.334837102038350916e-26 8.430052353920820002e-27 2.308354486494864121e-26 8.012204969076509092e-27
7.265155825342708935e-23 2.727583868150440254e-24 1.428394785230905407e-26 4.498482495393287130e-27 1.665986994708394710e-26 5.986539296301976595e-27
6.860871623020369588e-23 2.545168687037469450e-24 9.422181933294346060e-27 2.342501628812610338e-27 1.167070469551297144e-26 4.365117495588645828e-27
6.466980607551340512e-23 2.387336310761866047e-24 6.778301863856976757e-27 1.191745741427591380e-27 7.976496092402802700e-27 3.122098944727652417e-27
6.033215906114295131e-23 2.246259693298743549e-24 5.364060709614462331e-27 5.859418666779425568e-28 5.336218304435718843e-27 2.198651216086287162e-27
5.336779912391152551e-23 2.059353952651094724e-24 4.583835789307752022e-27 2.382159237642329982e-28 3.437323722447136338e-27 1.511722151758088046e-27
4.475807852987411617e-23 1.826449610579930263e-24 4.184373135056563269e-27 8.766220227520282871e-29 2.214821072800753530e-27 1.037878845024879400e-27
3.751823857727487123e-23 1.588199623158989428e-24 3.986904687989552272e-27 3.322193850455725680e-29 1.492592984725314273e-27 7.305699876626667450e-28
3.207043891683818039e-23 1.347327936631314463e-24 3.837089903537582731e-27 1.291723191183764373e-29 1.044863344116635619e-27 5.232929263297262603e-28
2.811248072326463487e-23 1.110659045685748200e-24 3.661037692884839564e-27 5.103366856360222260e-30 7.446670729745188320e-28 3.772608371667557254e-28
2.510245165676399094e-23 8.879808732667774988e-25 3.416095654797557344e-27 2.086740429643092724e-30 5.352115406050901587e-28 2.733798656354820846e-28
2.267235055989110324e-23 6.885927235496364958e-25 3.082066591705555621e-27 9.412828476170505328e-31 3.867777178073345831e-28 1.987768192071943882e-28
2.065728927580143473e-23 5.188987172774613271e-25 2.664533813479195320e-27 4.716328752298333452e-31 2.801851450437449762e-28 1.446705372682933501e-28
1.897154456716182259e-23 3.807992660423513165e-25 2.195421825707409904e-27 2.597831440712747252e-31 2.029841547431400732e-28 1.051868414333597072e-28
1.755071124662325274e-23 2.730533832510755547e-25 1.722406477268738455e-27 1.536086138498930832e-31 1.468566446110086830e-28 7.631150937751578436e-29
1.634878156579701290e-23 1.920076708058084034e-25 1.291360153461096660e-27 9.486196187144075843e-32 1.060129627780553492e-28 5.520206821716290187e-29
1.534785172081819843e-23 1.329893359344724059e-25 9.323732597576771422e-28 6.012015108882379894e-32 7.632148554293670082e-29 3.980113952031308682e-29
1.453587637070601640e-23 9.119299098305145169e-26 6.573215670348398537e-28 3.850187139526519901e-32 5.476607569360695643e-29 2.858939897520376253e-29
1.387494756708211588e-23 6.241725945231793584e-26 4.569173306673735617e-28 2.452818647470242931e-32 3.907024901124129452e-29 2.040929772356354429e-29
1.328728719815845569e-23 4.508527760977226248e-26 3.335536873418640319e-28 1.604282588288875800e-32 2.818980219038695254e-29 1.473001727167926698e-29
1.261229046082324937e-23 2.840669859798543923e-26 2.116035596561261717e-28 1.080059663050429895e-32 2.056237550475624930e-29 1.074518534018691427e-29
1.193820189002169802e-23 1.758047912063218682e-26 1.305904014413492565e-28 7.297983001494534849e-33 1.489700063678574104e-29 7.784455170478653648e-30
1.126641685689258541e-23 1.077918052533516622e-26 7.896539280337520608e-29 4.949571566925498644e-33 1.064963568826224205e-29 5.564911395323218931e-30
1.059964313576174099e-23 6.559367938440712889e-27 4.661471233144332682e-29 3.370324194827220634e-33 7.397580905622030366e-30 3.866204179639100063e-30
9.778696280290662999e-24 3.880450280200106131e-27 2.672890310323111228e-29 2.029955391273766214e-33 4.383713651144706165e-30 2.292253810618521058e-30
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
