7.610187341457117330e-13 3.176718879556651455e-14 1.616822279623275387e-14 4.358401748821067554e-15 2.064499336485694916e-15 1.136235641530611526e-15 4.629080716564623705e-16 1.574196413718124917e-16 1.799202685195092637e-16 1.236030728839385195e-16 8.258403223048616876e-17 5.123846886154741563e-17 3.299318112972346990e-17 2.015865555236688858e-17 8.959939283782206453e-18 3.883578659060188664e-18 1.398253589421025386e-17 1.118754412517774428e-17 9.171087012716692648e-18 5.637251202511016813e-18 3.924770032119173674e-18 2.676475970061174939e-18 1.599440546818786301e-18 7.214920519230123951e-19 2.585851048412305631e-19 1.189377837893518437e-19
9.796846784315389747e-13 3.982281931902064952e-14 2.015471096206417319e-14 5.297814552553154596e-15 2.495066442735143248e-15 1.372629882015731704e-15 5.609064425030076571e-16 1.912704074961101274e-16 2.168719736743921209e-16 1.483237674748545402e-16 9.845054117267450168e-17 6.050099885565282105e-17 3.872895527982571383e-17 2.357324390068563562e-17 1.043287035239329390e-17 4.518127099199608359e-18 1.621893034209986997e-17 1.297388074986643572e-17 1.063371543910944916e-17 6.534339245492423045e-18 4.548679542274473804e-18 3.101581442036596389e-18 1.853254389939487229e-18 8.359640107904370422e-19 2.999709555011154363e-19 1.381058437055950113e-19
1.265714912294598366e-12 4.984636020888546027e-14 2.511499859223530120e-14 6.440311926164593354e-15 3.013725891876768443e-15 1.655934476865383147e-15 6.783963529141972413e-16 2.319119649508695918e-16 2.613855240905688648e-16 1.780814892468213487e-16 1.175222700995598621e-16 7.154515321952253050e-17 4.547845501681713626e-17 2.754653766078888985e-17 1.212487473118058960e-17 5.243370472691200778e-18 1.874884844432133927e-17 1.499403747355702953e-17 1.228720290738931869e-17 7.547948151260862441e-18 5.253233596349914540e-18 3.581351610015968430e-18 2.139606715952202056e-18 9.650780503621837785e-19 3.464082973269464829e-19 1.596261752382320426e-19
1.634000954480225725e-12 6.227180188323415926e-14 3.126759846982514481e-14 7.828031837458038500e-15 3.637639341767423729e-15 1.994531353517307768e-15 8.187587739332413837e-16 2.805889589124322584e-16 3.148437388063717257e-16 2.137869860417382995e-16 1.403713247628635892e-16 8.472512315441293887e-17 5.345514054927057677e-17 3.217753782889663350e-17 1.406797789766958674e-17 6.071232968745543337e-18 2.158298139470303630e-17 1.725609930671451015e-17 1.413816187257382895e-17 8.681682500273165302e-18 6.040993459869915202e-18 4.117599731541221887e-18 2.459464065873172898e-18 1.109256870768142197e-18 3.979023793064984872e-19 1.835015271741345973e-19
2.102776191801471131e-12 7.761413972758508326e-14 3.887521906423953416e-14 9.510769098954941417e-15 4.387076228316772948e-15 2.398242549458706948e-15 9.858827352660840246e-16 3.386015900510748776e-16 3.788579689300732079e-16 2.565075861166535082e-16 1.676773378820974814e-16 1.004335433032868195e-16 6.288386007332392439e-17 3.757539941520784100e-17 1.628653484669577634e-17 7.010298241882744605e-18 2.472507155418987421e-17 1.976280354542753970e-17 1.618845592166943366e-17 9.936440127250446452e-18 6.912251698391556182e-18 4.710230106529003624e-18 2.812696557645666909e-18 1.268434305844563537e-18 4.542756545951068056e-19 2.096420930437799405e-19
2.693379931687239413e-12 9.647831493789875217e-14 4.824522789637024312e-14 1.154512604907705388e-14 5.284875407369892026e-15 2.878043684620258778e-15 1.184055742295160564e-15 4.074929652450558434e-16 4.551372054470101485e-16 3.074075730184283359e-16 2.001854334675800440e-16 1.191008481831825818e-16 7.403878081854041760e-17 4.389514413498163208e-17 1.881836520284159962e-17 8.074401989719582927e-18 2.817229874583839757e-17 2.251178537038531922e-17 1.843569142553281396e-17 1.131047180656779297e-17 7.865818150201096829e-18 5.358551737928064837e-18 3.198834411030318825e-18 1.442364359776055718e-18 5.153155865689529662e-19 2.379550464045088631e-19
3.431565904918875702e-12 1.195376458475112390e-13 5.972379207850383590e-14 1.399348705892502305e-14 6.355872678243564104e-15 3.446703037868941196e-15 1.418170123323628476e-15 4.888820399156095297e-16 5.457541559544777012e-16 3.678576503608051135e-16 2.387860822208259676e-16 1.412439118891960344e-16 8.724473252660540593e-17 5.133050219188168714e-17 2.171967799633494147e-17 9.282339531569031942e-18 3.192406812762972697e-17 2.550075215356906337e-17 2.087665133821506900e-17 1.280050842070484839e-17 8.899633373666959584e-18 6.061250672303709735e-18 3.617009608981424561e-18 1.630635785833471298e-18 5.807187612689171406e-19 2.683011159730443710e-19
4.345293199163890225e-12 1.475842119096383307e-13 7.370901084759678461e-14 1.693063105626018416e-14 7.631805813434330822e-15 4.117840560900357491e-15 1.693361312411657961e-15 5.846148040526071128e-16 6.528186946301014097e-16 4.393204378292098268e-16 2.844261673681130262e-16 1.674126360508044729e-16 1.028241602420807440e-16 6.008028074649317632e-17 2.505962806082400510e-17 1.065404073416221701e-17 3.596304723107372701e-17 2.871811372381529872e-17 2.350726039423796359e-17 1.440642406526830334e-17 1.001175723011921281e-17 6.815973039073459945e-18 4.065443656059485729e-18 1.832405991804963677e-18 6.500498701658160026e-19 3.004702130217809146e-19
5.468516557081135205e-12 1.814465745056330797e-13 9.063618752961799187e-14 2.043087003434072351e-14 9.140725361977932816e-15 4.904581566490950491e-15 2.014452962392546973e-15 6.962416724608662314e-16 7.785716316917686644e-16 5.232863106729282726e-16 3.380649707519861025e-16 1.981825910638709808e-16 1.211353888924557555e-16 7.035561340648913763e-17 2.893219356015336509e-17 1.222026179203469155e-17 4.026803381912558416e-17 3.214554247377689278e-17 2.630451946658159279e-17 1.610873665085074891e-17 1.119033926438278106e-17 7.615643354258922367e-18 4.540694160125582579e-18 2.046225309492460489e-18 7.225700111606018838e-19 3.341169289568443787e-19
6.835843980792247374e-12 2.220862522477731921e-13 1.109977097046145579e-13 2.457535314157316366e-14 1.091684180125348083e-14 5.822728648869476436e-15 2.387545634743329423e-15 8.259219735322415122e-16 9.253323783173647732e-16 6.213572664799683390e-16 4.007670127964540738e-16 2.341680830571686284e-16 1.425463841618357113e-16 8.237221644271655294e-17 3.342974157729735309e-17 1.402602334044148275e-17 4.479252201248203010e-17 3.574514516446635663e-17 2.924218285223798363e-17 1.789738653937632454e-17 1.242762359203693194e-17 8.453739577725407955e-18 5.037332955523268189e-18 2.269377523201383221e-18 7.973181912583534534e-19 3.687971445634192585e-19
