1.170645303836186813e-24 2.270331642745842203e-25 7.495236753567069832e-26 2.547574166206063433e-26 9.176467662391848378e-27 6.459766282631561527e-27 2.520273321392023406e-27
1.462963108650664703e-24 2.797544419123879508e-25 9.094916056564297124e-26 3.085523184106519614e-26 1.112027350502573737e-26 7.498698281520924858e-27 2.924467161331596057e-27
1.825189155917522929e-24 3.446238756429366608e-25 1.102920058766036662e-25 3.732552515130813615e-26 1.345917858904975272e-26 8.677300437711366186e-27 3.382221723442785685e-27
2.272465788865253300e-24 4.242408628199096031e-25 1.336302284466584177e-25 4.508320911746856891e-26 1.626351813629089261e-26 1.000370447370021751e-26 3.896119017220231148e-27
2.822686079394021755e-24 5.217037816400789365e-25 1.617283234342850663e-25 5.435799180345845767e-26 1.961523983577587010e-26 1.148145290874530620e-26 4.467105446750600126e-27
3.496748090134865192e-24 6.406015808985683360e-25 1.954426599346646340e-25 6.540406290756553124e-26 2.360443434206334601e-26 1.311622002728082316e-26 5.096308340613637859e-27
4.317901668220110684e-24 7.849677308494843120e-25 2.357334912951763808e-25 7.850966638594104017e-26 2.833358643378800150e-26 1.491402871396451060e-26 5.784789303210052171e-27
5.313546213908780434e-24 9.594454475882818263e-25 2.837019664728435690e-25 9.398684388060618734e-26 3.391150001253410910e-26 1.687557274747976333e-26 6.530699962187477546e-27
6.512046229049462856e-24 1.168957712353852750e-24 3.404241672515390218e-25 1.121359058225718764e-25 4.044431643276797578e-26 1.900468464009351382e-26 7.332843076486480368e-27
7.946357123133722953e-24 1.418976793014107452e-24 4.071116395198842775e-25 1.333008035736972160e-25 4.805038540502944038e-26 2.129941165078296588e-26 8.185681506589782434e-27
9.646599877063412482e-24 1.714656238155789033e-24 4.848863172793479291e-25 1.577941087750858135e-25 5.683591386728407912e-26 2.375812315107917400e-26 9.082840895341623482e-27
1.164625590975683112e-23 2.061106645370623211e-24 5.747063802300907778e-25 1.858554493688139928e-25 6.687715029022165990e-26 2.637939014430701058e-26 1.001541350301188540e-26
1.396883562431028231e-23 2.461706124228398216e-24 6.772084043078700343e-25 2.176557867020879833e-25 7.822726771347086970e-26 2.916954103037952976e-26 1.097497832014833922e-26
1.663460045680473673e-23 2.918901345335498093e-24 7.925095296212046924e-25 2.532358698680673045e-25 9.090652685598328772e-26 3.214110883859355774e-26 1.195538759361379807e-26
1.964702684625030580e-23 3.431422401057139636e-24 9.197281801466368609e-25 2.923087122239000642e-25 1.048056228797973211e-25 3.530176899775252149e-26 1.295239856754468002e-26
2.298863602648546255e-23 3.994407870742069699e-24 1.056754841571913860e-24 3.343373712949319658e-25 1.197517158279426114e-25 3.865942193779466903e-26 1.397151661006055848e-26
2.660973685504342540e-23 4.597056841840390976e-24 1.199542966475887869e-24 3.782600001179791460e-25 1.353868380672141980e-25 4.219697356951991902e-26 1.501669023749725427e-26
3.041666720494920751e-23 5.219226757099266143e-24 1.341471782569320240e-24 4.224127203447396599e-25 1.511723023576533237e-25 4.585660992530350714e-26 1.608041482693147947e-26
3.426347731667509285e-23 5.831996020145005240e-24 1.472772284828969744e-24 4.643198738293852335e-25 1.663037891429191923e-25 4.953443689840224439e-26 1.713940063242736474e-26
3.793990032387376339e-23 6.393028780609418644e-24 1.579266215063009057e-24 5.005332604642946718e-25 1.796919831343033818e-25 5.307258934124795447e-26 1.815113841049757273e-26
4.130044017677705956e-23 6.878089548911202702e-24 1.654774407061746553e-24 5.288202863617845812e-25 1.905298080628112447e-25 5.627222909132893188e-26 1.905698743049526472e-26
4.424717607854158287e-23 7.268104798174978702e-24 1.697274158055532901e-24 5.477746409299976629e-25 1.982123401264599485e-25 5.889010642574060492e-26 1.977912172897321439e-26
4.658819161112107232e-23 7.529271210591898671e-24 1.699167031570442442e-24 5.548607717471651497e-25 2.018296578523403240e-25 6.067498926845778450e-26 2.023707405976920342e-26
4.816325726234692356e-23 7.631489501261938107e-24 1.654256810801004634e-24 5.479494276656585248e-25 2.005909328520729187e-25 6.149654737622592323e-26 2.040856518928210316e-26
4.884575400247249475e-23 7.556182877111285724e-24 1.560099523782212474e-24 5.257851827546085886e-25 1.939973197009373999e-25 6.128677496473688462e-26 2.028818431988519902e-26
4.857201118580050854e-23 7.298117969164465758e-24 1.417752194198538700e-24 4.881998828138064428e-25 1.819072973227680319e-25 5.989105188363938249e-26 1.981443645661360852e-26
4.738734301930029231e-23 6.870105080018245741e-24 1.233094504977998269e-24 4.363380136748030058e-25 1.646130975261650598e-25 5.726839552908169791e-26 1.896086866758439793e-26
4.541470935420790318e-23 6.305977252205511727e-24 1.016975344407990426e-24 3.728023372391048898e-25 1.429117239117196717e-25 5.351656080131177948e-26 1.775266221368688213e-26
4.283252851906718845e-23 5.652646056906481236e-24 7.855561585140577588e-25 3.016900488225460014e-25 1.180908756385678850e-25 4.882603596816311481e-26 1.624920870836169705e-26
3.984839757308845668e-23 4.969344521532209641e-24 5.614060432637734926e-25 2.289132038116519703e-25 9.204968635076994642e-26 4.346582633579953657e-26 1.453518037907938295e-26
3.672261588646201711e-23 4.330881108520388349e-24 3.703440515824717392e-25 1.617399034689077855e-25 6.719484958778995838e-26 3.773421939337463058e-26 1.270593085315488062e-26
3.367860296919043148e-23 3.789981859138341098e-24 2.287645862543254455e-25 1.065987515525714078e-25 4.587641682662478137e-26 3.193166819294552391e-26 1.085654360837174831e-26
3.085096172085174909e-23 3.356993388475959600e-24 1.355761291326040464e-25 6.623270724930634476e-26 2.946940565529048306e-26 2.633227354298510605e-26 9.072399428671735228e-27
2.831569556610229057e-23 3.016809962710552399e-24 7.908353220216875874e-26 3.933660734572592186e-26 1.801124487080888805e-26 2.116259377060832360e-26 7.422782665761586526e-27
2.610349159825842270e-23 2.749998736022533164e-24 4.655274412290451518e-26 2.255884799834775285e-26 1.057666245665940092e-26 1.658979488936027361e-26 5.957688925762516413e-27
2.422360067676755372e-23 2.540210618508509007e-24 2.839136454260417657e-26 1.254522566069720900e-26 5.997727128416687773e-27 1.271778128653407320e-26 4.704230133865095723e-27
2.264374022547144177e-23 2.369163498388168631e-24 1.844164120882569076e-26 6.772040408382270179e-27 3.290116632461583806e-27 9.572382872343891265e-27 3.671036002944030379e-27
2.131335385460902682e-23 2.223338777898336795e-24 1.295257681551967477e-26 3.550419507854516371e-27 1.747573874752834206e-27 7.114159755459921658e-27 2.846982505363592702e-27
2.004388721573414799e-23 2.097488968592991554e-24 9.982689717246566507e-27 1.788761100261830002e-27 8.897633308619653503e-28 5.240421656157212644e-27 2.199900512271982145e-27
1.801711251296960562e-23 1.943124753415318178e-24 8.319098693389747492e-27 7.470315737040661272e-28 3.761243244405839128e-28 3.803630702612852549e-27 1.683149443296593552e-27
1.536734873224084574e-23 1.757893727972175985e-24 7.489340078222088785e-27 2.797770175226221532e-28 1.420505291124070939e-28 2.752592295586466206e-27 1.275913008414499846e-27
1.275392748925269056e-23 1.563213695103251417e-24 7.104251239398154209e-27 1.070928540815589320e-28 5.465564758805464688e-29 2.014443612061369538e-27 9.630896472543411527e-28
1.027741264072725677e-23 1.358563153032507567e-24 6.835733892945926363e-27 4.208624275793887714e-29 2.175899054422939058e-29 1.480420175666234828e-27 7.214441043609913660e-28
8.043814242571160949e-24 1.147701565025633878e-24 6.532061685160964589e-27 1.791948449087818659e-29 9.592706727837668067e-30 1.089527137901192376e-27 5.387056387294178671e-28
6.126731402064627988e-24 9.391477817150617421e-25 6.108014194433905765e-27 8.500921716672839655e-30 4.744673007535362130e-30 8.038173052514085739e-28 4.018753344112466393e-28
4.552171871496988126e-24 7.434888394871685382e-25 5.523139542186086473e-27 4.483895760353348312e-30 2.600668444007170911e-30 5.938813566265775514e-28 2.994889924914095335e-28
3.308395042038724476e-24 5.701051234693769948e-25 4.785548865811460989e-27 2.563185646880193214e-30 1.529918691423654993e-30 4.385819401439998585e-28 2.226893743759304336e-28
2.357347646292681769e-24 4.242647051856967092e-25 3.951157346639643377e-27 1.545368097785202529e-30 9.391494156469027874e-31 3.232407063747075328e-28 1.650262726240704408e-28
1.651829739513664353e-24 3.074721311363245179e-25 3.104787240436858519e-27 9.618085452345529201e-31 5.903466436330015475e-31 2.375266429237105114e-28 1.218015693383836298e-28
1.141506464862040053e-24 2.178756004166207420e-25 2.329734268353237345e-27 6.087292569387527278e-31 3.754055725727055785e-31 1.739199482644917152e-28 8.949899866723534456e-29
7.803608040358685202e-25 1.517290722880207560e-25 1.682405079215449674e-27 3.887677787967962485e-31 2.400980287415737062e-31 1.268562508948092524e-28 6.546171761849695646e-29
5.295547687884834845e-25 1.044823824177884392e-25 1.186176511231644058e-27 2.490385854522520397e-31 1.538105131487120656e-31 9.213376851022965938e-29 4.764619398251176332e-29
3.589041004265777538e-25 7.177512084470654970e-26 8.250346698429128212e-28 1.586753045111826109e-31 9.800744529457310375e-32 6.648731408832464355e-29 3.444155888178389795e-29
2.548173296766359653e-25 5.206653665925495997e-26 6.027264632656615581e-28 1.037919086056092447e-31 6.410795433477349901e-32 4.843261635659164612e-29 2.511682446655438528e-29
1.575200078592715669e-25 3.296855608600318026e-26 3.825134123474633644e-28 6.988175598826018901e-32 4.316459537502516080e-32 3.559389589551634566e-29 1.847130659492931700e-29
9.579517789452712000e-26 2.051218004878458944e-26 2.360954593621504722e-28 4.723109525696123510e-32 2.917398722213388427e-32 2.594788973324714184e-29 1.347187781447404628e-29
5.768023213606194210e-26 1.265855974996445530e-26 1.427631067307442850e-28 3.203379718100957216e-32 1.978715971462790439e-32 1.863181270853700404e-29 9.676758310718310031e-30
3.439216677485036930e-26 7.769158784956987631e-27 8.427464595503146973e-29 2.181318311560558728e-32 1.347386514505704020e-32 1.295786404734080582e-29 6.731846157679630486e-30
2.017385197905372307e-26 4.670571159420119700e-27 4.872668077015020476e-29 1.314026120319353513e-32 8.116800843777691174e-33 7.658850848770124034e-30 3.980476447486991151e-30
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
