3.970509562580174664e-25 1.977204591236687080e-26 2.254268763083373847e-25 1.236545568455008799e-25 6.615457428249291761e-26 3.208604474595978091e-26 1.877244184890170144e-26 1.164457163606371289e-26 6.345338283895315087e-27 2.759323195510400327e-27 3.487335780499576243e-27 1.517632187285895075e-27
5.099361754590358338e-25 2.478248268278277941e-26 2.725624381758896048e-25 1.494382936859846877e-25 7.975381339464695663e-26 3.840672208019808184e-26 2.228144719297682603e-26 1.370307594125997649e-26 7.404231493217784238e-27 3.212651106352367955e-27 4.039715153700967803e-27 1.757837800386254634e-27
6.580408770334009963e-25 3.100817197514421798e-26 3.291438233307105880e-25 1.803896941267069749e-25 9.606893617058977776e-26 4.596187560663809299e-26 2.644643986382229176e-26 1.612279340828585816e-26 8.626984507554199014e-27 3.732393823003336997e-27 4.662504002216908136e-27 2.028601702532341403e-27
8.491589183554405534e-25 3.871546084802878436e-26 3.968501973346266632e-25 2.174137225135306264e-25 1.155758097810194850e-25 5.496454263368292083e-26 3.137923722495102366e-26 1.896234659368749495e-26 1.003665759077699199e-26 4.326563327499143483e-27 5.357531030730020632e-27 2.330664657953476134e-27
1.092911321569439046e-24 4.821974338217505158e-26 4.776249438777193881e-25 2.615560446443548500e-25 1.388217355029767786e-25 6.566270909095768733e-26 3.720496803300496376e-26 2.228486381428361736e-26 1.165485565283480478e-26 5.001843210223516686e-27 6.124276278579953007e-27 2.663766901265813729e-27
1.400703046548308357e-24 5.989023277138358776e-26 5.736256593141954914e-25 3.139704696404207715e-25 1.664116133207152140e-25 7.832728342430766312e-26 4.406437250559187956e-26 2.616473255058225536e-26 1.351013336029676019e-26 5.768132511888566326e-27 6.961062722312761121e-27 3.027083017963056667e-27
1.786189322759586298e-24 7.413811862611144115e-26 6.873142296957220651e-25 3.759737711475762834e-25 1.990396635345659227e-25 9.328229517048712066e-26 5.212988699902752674e-26 3.069455269274213749e-26 1.563958438627593967e-26 6.638844485844566865e-27 7.865852485649295595e-27 3.419699738149532853e-27
2.264579211635288722e-24 9.144746300015867245e-26 8.213314429603857152e-25 4.489540968416044189e-25 2.374339221791596686e-25 1.108589628340084231e-25 6.157630017341565960e-26 3.596706260470975909e-26 1.807788122468289554e-26 7.626090596100994196e-27 8.834317632165394629e-27 3.839609466357664554e-27
2.853791762391552415e-24 1.123226255165902805e-25 9.782616047080840310e-25 5.343018868455584437e-25 2.823435108681030772e-25 1.314156231476333397e-25 7.259536432584068287e-26 4.208741394221256284e-26 2.086949016970571019e-26 8.746361758795944342e-27 9.858637576586438641e-27 4.283536539050605783e-27
3.573134523669188553e-24 1.373487634651415042e-25 1.161064216197913573e-24 6.335508220499200748e-25 3.345675645434556049e-25 1.553178131442973413e-25 8.538641119520382739e-26 4.916457204872349774e-26 2.405782455493889822e-26 1.001562205752174933e-26 1.092614130426835616e-26 4.745553120755448026e-27
4.443874563344219071e-24 1.670609719750987309e-25 1.372431949565768688e-24 7.481090561020542323e-25 3.948532078039361923e-25 1.829129419902959733e-25 1.001393552952571226e-25 5.730581157605423703e-26 2.768994282186105607e-26 1.145167523973516915e-26 1.202185756701630434e-26 5.219384551146377784e-27
5.488256956597631396e-24 2.020607266921872783e-25 1.614397727570329893e-24 8.789916515175463252e-25 4.637351374585835504e-25 2.144863245576111949e-25 1.170134929628310741e-25 6.660124342041105917e-26 3.180534675724776087e-26 1.306960326600164933e-26 1.312395260698957308e-26 5.695580268634009676e-27
6.728245190204909745e-24 2.427669152227294140e-25 1.888416909957280104e-24 1.026888799662793999e-24 5.415909590787662887e-25 2.502288243699426423e-25 1.361266245318748642e-25 7.712177423792449727e-26 3.643615114286915243e-26 1.488213723015008898e-26 1.420568437163426520e-26 6.162182735906130738e-27
8.184469338876215475e-24 2.895563646739841830e-25 2.194908276180523691e-24 1.192124862043526335e-24 6.286238990808783485e-25 2.902459050919939924e-25 1.575395215379594572e-25 8.890262580647383375e-26 4.160415095351224625e-26 1.689849451278445784e-26 1.524137764418789447e-26 6.608461388000438310e-27
9.877830463073922529e-24 3.425073138567718751e-25 2.531425257577791257e-24 1.373296894558303215e-24 7.241341907583905509e-25 3.342825971514230952e-25 1.811502641503014322e-25 1.019098187894482863e-25 4.730707857594681161e-26 1.912042194238873639e-26 1.619831841172148499e-26 7.020190611105370668e-27
1.183195923767554014e-23 4.013350825433826756e-25 2.893548996874624067e-24 1.568319326139544863e-24 8.271480777053835645e-25 3.819626673958741734e-25 2.067814025435554281e-25 1.160587604017865997e-25 5.351944237904864014e-26 2.154030336503654305e-26 1.704741941055358937e-26 7.384614997463746744e-27
1.406983457629369535e-23 4.652091108535459967e-25 3.272380270838993877e-24 1.772744815078517363e-24 9.354441496014617966e-25 4.323163622769072313e-25 2.339503170807059286e-25 1.311062331386302388e-25 6.015632040536987477e-26 2.412915816876009949e-26 1.775412973482202825e-26 7.687130461342376111e-27
1.661078031728853236e-23 5.325337107182918500e-25 3.654083421054564811e-24 1.979937688097266779e-24 1.045825012284393787e-24 4.840594120036964577e-25 2.620211501609130388e-25 1.467216641704448231e-25 6.707846553224066400e-26 2.683468518659570360e-26 1.828531138550748041e-26 7.913572472249561430e-27
1.947402159511733992e-23 6.008245026910106787e-25 4.018077554276499244e-24 2.179958833485361423e-24 1.153463525801886573e-24 5.350994395375190794e-25 2.899182678395531842e-25 1.623315912104523780e-25 7.405003162556271218e-26 2.956806247251234218e-26 1.860386605829475628e-26 8.047959770584652832e-27
2.268814214404712419e-23 6.665316314643096168e-25 4.335916129467210805e-24 2.359551438791890552e-24 1.252090743291969947e-24 5.828623626600952232e-25 3.163420929961604084e-25 1.772494510997890105e-25 8.078017501970525971e-26 3.221710609113047927e-26 1.866826858958949595e-26 8.072016735846428782e-27
2.627820155991322640e-23 7.271391444469438429e-25 4.588144879442598429e-24 2.508042399260689390e-24 1.335972856016796462e-24 6.246588257717976107e-25 3.398342852254972600e-25 1.906639590036294024e-25 8.690488759212736186e-26 3.463837389059258634e-26 1.844014090839899917e-26 7.968460075589080800e-27
3.026284957848305254e-23 7.807863670989151302e-25 4.761663344895145332e-24 2.616736931340572497e-24 1.399910165177821053e-24 6.577999824584733841e-25 3.588790696558550558e-25 2.017129786526940403e-25 9.202929092539002035e-26 3.667548866937773050e-26 1.787088799402946433e-26 7.715333346968854309e-27
3.465429098003676309e-23 8.240439412655744484e-25 4.834443885458272400e-24 2.673672123519219117e-24 1.437537018117702152e-24 6.793116177690637259e-25 3.718626599536363470e-25 2.094853376391568897e-25 9.573305863377772349e-26 3.816087961716678532e-26 1.691061914478809544e-26 7.289802659910162793e-27
3.944608013045505148e-23 8.540553244202956709e-25 4.787729276766331043e-24 2.668271643261996899e-24 1.443079486548853467e-24 6.863885440377620322e-25 3.772389578560433306e-25 2.131169326017037702e-25 9.763118021032342851e-26 3.894479267269914196e-26 1.571912996101557708e-26 6.757964820363781436e-27
4.425999759128458577e-23 8.684801353358679880e-25 4.610213087252785950e-24 2.593770237660510956e-24 1.412766736280122940e-24 6.771840171319463974e-25 3.739885767360204533e-25 2.120290866131826752e-25 9.745109895730729598e-26 3.891819138664111950e-26 1.459573168976124539e-26 6.245655700473734033e-27
4.858695246111516298e-23 8.661320904084650496e-25 4.299646319612463624e-24 2.447791348624205292e-24 1.344978887576010616e-24 6.507565968050566559e-25 3.615111221380318938e-25 2.058614629839886128e-25 9.500619471072247254e-26 3.799809036163029649e-26 1.360725018218101171e-26 5.786559085491159821e-27
5.224094873195901942e-23 8.476976674569454847e-25 3.864891719619732097e-24 2.233452740465189034e-24 1.240861842113028351e-24 6.074771298140499895e-25 3.399792503456246825e-25 1.947081386194525001e-25 9.034522748108030410e-26 3.620494701205699222e-26 1.269939246338190212e-26 5.372015820990053540e-27
5.508794603843190517e-23 8.152786239107272218e-25 3.327197536506344596e-24 1.960316512723855041e-24 1.104874246417132321e-24 5.491694473436454146e-25 3.102804620657910206e-25 1.790160237747835169e-25 8.366545611475201201e-26 3.361737940785727606e-26 1.181757235349873866e-26 4.983803523611051238e-27
5.704980668152851239e-23 7.718883651284238787e-25 2.720356550721200223e-24 1.643920768324280823e-24 9.442630964340940014e-25 4.787944037229546704e-25 2.739225317572315116e-25 1.595851497006522967e-25 7.532339969804452402e-26 3.037525715557358415e-26 1.093134027296509546e-26 4.606838456462949669e-27
5.813850651218784915e-23 7.209402691003782652e-25 2.093364208573431138e-24 1.307255312704765572e-24 7.697583803339459375e-25 4.006793496903860840e-25 2.330545333722293991e-25 1.375349706370635535e-25 6.578261900627805469e-26 2.666101149431972602e-26 1.003854371804869031e-26 4.236486619648304999e-27
5.839938568972122251e-23 6.668752379824513130e-25 1.507032611232906983e-24 9.796300912336902260e-25 5.950793347376169078e-25 3.202987143373006796e-25 1.903299628876717542e-25 1.142236408789813997e-25 5.560295591205035071e-26 2.268915708231490140e-26 9.156886578141594534e-27 3.876580639026286793e-27
5.792758567798795149e-23 6.135385487503759830e-25 1.016925096204800845e-24 6.909241453310786180e-25 4.350770975258753493e-25 2.437246843005199099e-25 1.486802938368625131e-25 9.111666969989977151e-26 4.536569311560238138e-26 1.867625019107326843e-26 8.310255876553287631e-27 3.534241860051763885e-27
5.683589320123326004e-23 5.633898472405355109e-25 6.497748198543857458e-25 4.608258542206491818e-25 3.013036516336580453e-25 1.763962581798653654e-25 1.109189682430307825e-25 6.967948592687657093e-26 3.566423927047494071e-26 1.484367982623658619e-26 7.521850613772715776e-27 3.216764441806525785e-27
5.526335976903770079e-23 5.180054079359901228e-25 3.985980705404658767e-25 2.935158931132088550e-25 1.988395159338307059e-25 1.217104299200126802e-25 7.905955697243185270e-26 5.104724463927379754e-26 2.698069347881458269e-26 1.137621828148748679e-26 6.806420285662557880e-27 2.927991730300560328e-27
5.335130972647697764e-23 4.781729773086231032e-25 2.372005251693892333e-25 1.802234669405904574e-25 1.259781061880015053e-25 8.039390935661777428e-26 5.395531336952298871e-26 3.585189114672680854e-26 1.963633125641240378e-26 8.402948231843753530e-27 6.167902199551138083e-27 2.667824189272781392e-27
5.122694182634103028e-23 4.442006111405612309e-25 1.375485842338542862e-25 1.072560578639475600e-25 7.704823767928808269e-26 5.104065806255043539e-26 3.534861713415084084e-26 2.417385896492396518e-26 1.375521896334186431e-26 5.983554475542786457e-27 5.597738224686131969e-27 2.431866288565403817e-27
4.900401959709075694e-23 4.154819215946611234e-25 7.779573591783104889e-26 6.199695730112129160e-26 4.562673101028323801e-26 3.124530080915138217e-26 2.228904610793407211e-26 1.568005345244370846e-26 9.287866572605980907e-27 4.113284062650993224e-27 5.077560690691878143e-27 2.213466844722906971e-27
4.671539920949529907e-23 3.911233034232879362e-25 4.290961876137772117e-26 3.483549312825078955e-26 2.620913417958880510e-26 1.849275625109270609e-26 1.356676675632864883e-26 9.813486825585818291e-27 6.064271198276834433e-27 2.738859824970393243e-27 4.590293063297399335e-27 2.007506233885645005e-27
4.438199641972029315e-23 3.680460933751007135e-25 2.285618925523826188e-26 1.886828543277263031e-26 1.450632657334374909e-26 1.053272563493597188e-26 7.946160540486089246e-27 5.915146054260903655e-27 3.828771618028903017e-27 1.768006592538689692e-27 4.124408599923972700e-27 1.811430006450254108e-27
4.197095349815305615e-23 3.319902301349288827e-25 1.053582307211866869e-26 8.902886171441401291e-27 7.075060968831381781e-27 5.358386645103746279e-27 4.213704235869755935e-27 3.271322015744129163e-27 2.265152634082714817e-27 1.079017972409678581e-27 3.674880931709899318e-27 1.623181845154802174e-27
3.960970841816041679e-23 2.849608206934722402e-25 4.558146353879231030e-27 3.955830545791096428e-27 3.278016477797588287e-27 2.610122107258041450e-27 2.154836058139501914e-27 1.755071949910631960e-27 1.309784551156499609e-27 6.451802610974700946e-28 3.241840152273347211e-27 1.442290336519947326e-27
3.739162909313497179e-23 2.383164612651650599e-25 2.096241280225666021e-27 1.869702083890621241e-27 1.618583510573306454e-27 1.352850035075619918e-27 1.168213737344214050e-27 9.924744712397120712e-28 7.875943094534338185e-28 3.985052936476765116e-28 2.829877900766685998e-27 1.269867198576300736e-27
3.528579501024510380e-23 1.937129852097363893e-25 1.052278345856627852e-27 9.650606756631098509e-28 8.700879565377273181e-28 7.584700516960939198e-28 6.790117264771536925e-28 5.955115242647667600e-28 4.925159040688988040e-28 2.537681357853690928e-28 2.443289643081500669e-27 1.107011875601726423e-27
3.324672377432421312e-23 1.529997590605177991e-25 5.744772515575502642e-28 5.400041622687959154e-28 5.024054283205250428e-28 4.516834769499701404e-28 4.143616039160859679e-28 3.709312317523468574e-28 3.139793336894111488e-28 1.635537760203703925e-28 2.086144122772395063e-27 9.549837006827757016e-28
3.126680626201944148e-23 1.175803513193380113e-25 3.333226119917347664e-28 3.193121782910875070e-28 3.035443661413795296e-28 2.785138859497934113e-28 2.593886166079829310e-28 2.350697009200888937e-28 2.015050186004531952e-28 1.057112684129976379e-28 1.761520177070503679e-27 8.150130744140195526e-28
2.933526061113257972e-23 8.808780535007514452e-26 2.018583284680241069e-28 1.959094152739416870e-28 1.887439745273817365e-28 1.753097831153516851e-28 1.646537487520064087e-28 1.502109318158785101e-28 1.297413042370522161e-28 6.843103074830203311e-29 1.470893804401866773e-27 6.878611094913289802e-28
2.746530493446469769e-23 6.448819587192598275e-26 1.254927768314709359e-28 1.227975929163597386e-28 1.192357241334275105e-28 1.115062984566703751e-28 1.051871003049763329e-28 9.633324553573413061e-29 8.364859276050522098e-29 4.429866328706174495e-29 1.214286563371849142e-27 5.738636605113549292e-28
2.566027194082394086e-23 4.623066249853196375e-26 7.920974603890300571e-29 7.787777208155722510e-29 7.594488613514352015e-29 7.126490531626527228e-29 6.738136742225310803e-29 6.187151937635522730e-29 5.392271350570346803e-29 2.864066068934258861e-29 9.909042480551028300e-28 4.730661140954951766e-28
2.393343779153661044e-23 3.254889079293382083e-26 5.042332408266391656e-29 4.970111933374602207e-29 4.857463659731025813e-29 4.565219585702842478e-29 4.322613667979636550e-29 3.975962289436119358e-29 3.473620770320131857e-29 1.848718235224506704e-29 7.994268717633449014e-28 3.853392392663386675e-28
2.233155985198130891e-23 2.257076048036620665e-26 3.224869847586339811e-29 3.182685251023170475e-29 3.113864375691379486e-29 2.928896870406204107e-29 2.775852606079927593e-29 2.556108070973711724e-29 2.236720828918792905e-29 1.191996577944665569e-29 6.375863638913951920e-28 3.100882992451739941e-28
2.087760734915327457e-23 1.546730057760281973e-26 2.067649371597265050e-29 2.041555397837908708e-29 1.998422022048291690e-29 1.880729368731636329e-29 1.783560910821281294e-29 1.643560947043920047e-29 1.439666530087753253e-29 7.678758848360828400e-30 5.028531749256541803e-28 2.465675727096580918e-28
1.954469919456700191e-23 1.051628884195750622e-26 1.326778756883976539e-29 1.310258963850791316e-29 1.282999291714788054e-29 1.207880545149372569e-29 1.145954945856996476e-29 1.056522459215341671e-29 9.260973498677387422e-30 4.942336892408913025e-30 3.922507662605794536e-28 1.937567960952358781e-28
1.825162811212913881e-23 7.141668920685177240e-27 8.463519315324125892e-30 8.359216066915393421e-30 8.187248588748185525e-30 7.709943530023680839e-30 7.316858363545662360e-30 6.748177251224159338e-30 5.918025755186873507e-30 3.159565411120206301e-30 3.025529691902832615e-28 1.504497350563417880e-28
1.687901903523141762e-23 5.089029662540433062e-27 5.539791375807749801e-30 5.471893004213050825e-30 5.360100849276813433e-30 5.048493920403395427e-30 4.792088139439387531e-30 4.420655181675097635e-30 3.878033917256805511e-30 2.070951066844472173e-30 2.327405125300095587e-28 1.163450795961494716e-28
1.518974451243716528e-23 3.158999764180867694e-27 3.731880670696336264e-30 3.686345549858993875e-30 3.611407570471555642e-30 3.401848162970143150e-30 3.229501203654571203e-30 2.979616919700306297e-30 2.614430300763307239e-30 1.396421344902664452e-30 1.783836872503554887e-28 8.952063734092185417e-29
1.307883674138704616e-23 1.928646032804791647e-27 2.523304426029522917e-30 2.492618570216501909e-30 2.442132223909627892e-30 2.300605162701061879e-30 2.184228117011771338e-30 2.015458222197649455e-30 1.768733884446863297e-30 9.448229653175104884e-31 1.345516643065664954e-28 6.773069858704530740e-29
1.052035808146559259e-23 1.166087703886561705e-27 1.711911915438433491e-30 1.691140839307669320e-30 1.656970555750107854e-30 1.561030233833396545e-30 1.482164254845944952e-30 1.367747691035282825e-30 1.200442416086640492e-30 6.413115382720550812e-31 9.890139626815951303e-29 4.988773404772333043e-29
7.492421002553367148e-24 6.986096367156619875e-28 1.165969651290763799e-30 1.151844371566807434e-30 1.128620685194928713e-30 1.063333096631756539e-30 1.009668589220021477e-30 9.317831068866666338e-31 8.178736138891623030e-31 4.369594334060733730e-31 6.912295113346960777e-29 3.488337406166542352e-29
3.994964131383762687e-24 4.109771320554069326e-28 7.027075931862165562e-31 6.942266333798994145e-31 6.802773008984943011e-31 6.409610560498858450e-31 6.086555295291404926e-31 5.617447027755819986e-31 4.931241286497313522e-31 2.634815111886840583e-31 4.013724093190212016e-29 2.022629049764858780e-29
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
