7.308422343434611353e-14 9.831957786991940964e-15 2.241838944819651755e-15 7.168704784017771378e-16 2.069790882829962957e-16 6.726452937939902651e-17 1.025853356700221334e-17 3.696590393022231420e-18
9.149100220639419042e-14 1.222617425756424488e-14 2.725923848270303766e-15 8.668671762550547629e-16 2.507225520726313935e-16 8.162664053323441959e-17 1.190799264594602663e-17 4.290863444564049554e-18
1.142911701668805731e-13 1.519985787685500211e-14 3.314206380189936534e-15 1.047308790521857791e-15 3.032179646405862411e-16 9.889514491649664615e-17 1.377933276957443178e-17 4.963639773036388343e-18
1.424264567184703159e-13 1.888329823197842698e-14 4.027957856509880238e-15 1.263922429309551063e-15 3.660075894772503712e-16 1.195762332369816654e-16 1.588579756031531519e-17 5.718754876755907528e-18
1.770167801143031291e-13 2.343194677291076328e-14 4.892298640328163462e-15 1.523421405905290223e-15 4.408671832570717508e-16 1.442588272535456442e-16 1.823257127542711487e-17 6.557898825767542146e-18
2.193591911406656243e-13 2.903028533293326359e-14 5.935752598826792443e-15 1.833432571904967963e-15 5.297699725868235429e-16 1.735872794763116787e-16 2.083238387661803938e-17 7.483089577506390900e-18
2.709113971505746883e-13 3.588511958755667897e-14 7.189725871237032639e-15 2.202288114024719510e-15 6.349497529521910832e-16 2.082874486994341582e-16 2.369243088823463440e-17 8.495969149226213400e-18
3.333766571388925348e-13 4.423506300691941616e-14 8.691475069063585697e-15 2.639984570967553600e-15 7.588120171764645064e-16 2.491339158616184365e-16 2.681137044397267517e-17 9.594427636406518231e-18
4.085470929662973105e-13 5.434232672527112699e-14 1.047790615331010592e-14 3.155791844449103338e-15 9.036235241510281255e-16 2.968666661952511685e-16 3.019014152957664005e-17 1.077781089198313186e-17
4.984935556752595850e-13 6.648065158398886939e-14 1.258953728997339128e-14 3.760649227116054911e-15 1.072046025664062777e-15 3.523720533275495232e-16 3.382029539498335432e-17 1.203708462088181834e-17
6.051378124948932641e-13 8.093051748253966861e-14 1.506467481555898627e-14 4.464545403252415512e-15 1.266523012360606867e-15 4.163598766612535501e-16 3.768330804577057519e-17 1.336312745253741697e-17
7.305971269330962451e-13 9.799206575055849734e-14 1.793740423307872451e-14 5.276190668407120354e-15 1.488804490054599463e-15 4.893917156687503612e-16 4.176302027416127195e-17 1.473994585283755625e-17
8.764633404852069745e-13 1.178768678379292283e-13 2.122905762083588087e-14 6.201264239850185196e-15 1.740114766329903641e-15 5.717889326095872389e-16 4.606991806371917554e-17 1.615257434227946698e-17
1.044074725924135949e-12 1.407691244810112526e-13 2.494379776030472747e-14 7.240237406242602615e-15 2.020761522178849446e-15 6.637331820230168890e-16 5.062596719480329413e-17 1.758589784014272937e-17
1.233766433618603070e-12 1.666182250537128561e-13 2.905244434707375835e-14 8.385836190330294188e-15 2.328338748593190932e-15 7.643171868859230382e-16 5.549496098572101819e-17 1.902396299272787438e-17
1.444713046641784194e-12 1.951995303227967202e-13 3.347975260213991466e-14 9.619133375347805576e-15 2.658734177028382419e-15 8.722613431847700705e-16 6.079238930251322210e-17 2.047810880435179572e-17
1.673887282202356400e-12 2.259577586956178145e-13 3.807944502213006569e-14 1.090585327606051828e-14 3.003758392763927237e-15 9.850030241521996277e-16 6.666083558910544082e-17 2.197418611364468756e-17
1.915781331367896969e-12 2.582210943278410519e-13 4.260944244723877104e-14 1.218765192148416409e-14 3.350246845977555383e-15 1.098644049494466674e-15 7.302213404483241147e-17 2.355978290049906102e-17
2.161400571557409988e-12 2.910436110997153023e-13 4.669500823389103134e-14 1.337842741559901878e-14 3.679110922702872318e-15 1.207427893299140319e-15 7.963173054350259078e-17 2.526458481021889408e-17
2.397936800045456916e-12 3.227766464946273738e-13 4.979164766522939527e-14 1.435267061604240678e-14 3.963524746775311051e-15 1.303610924092963912e-15 8.615767019685310635e-17 2.700764073304115070e-17
2.616409320151157894e-12 3.522310159461951661e-13 5.178129483714276637e-14 1.504893366421588321e-14 4.186010958964616294e-15 1.381316598388096010e-15 9.220596507573972889e-17 2.865849631436217478e-17
2.811068302266287758e-12 3.781176979453504492e-13 5.265260947563661978e-14 1.544354838466332615e-14 4.335277869505661202e-15 1.436162532370051720e-15 9.732218051703383270e-17 3.006898129454002301e-17
2.970221779154654430e-12 3.986739916049490558e-13 5.218374460300250495e-14 1.546426796301303165e-14 4.391229862122213516e-15 1.461583524331677173e-15 1.010624184680606123e-16 3.109283792518226993e-17
3.083697792173771412e-12 4.122319876810190538e-13 5.020707834720657929e-14 1.505604493312082673e-14 4.336866131198897897e-15 1.451912297985602993e-15 1.030888800185207721e-16 3.164145672971895451e-17
3.143491092529394429e-12 4.175665528445378968e-13 4.668248378574714883e-14 1.419425401130369512e-14 4.161829018731141889e-15 1.403522273622158938e-15 1.031527147539234703e-16 3.164105114538704437e-17
3.145076806371700299e-12 4.140313332964215759e-13 4.169350921823732450e-14 1.288737743813306092e-14 3.864122489495945205e-15 1.315369617171080288e-15 1.010389887396099334e-16 3.100558700339467136e-17
3.090369915388033494e-12 4.017772449457239620e-13 3.545949807403521126e-14 1.119053661293277858e-14 3.452169327052040965e-15 1.189410350070496230e-15 9.673388067332022024e-17 2.971954367556425699e-17
2.985750474127875517e-12 3.820372192894830816e-13 2.836392348728778318e-14 9.202677517619972268e-15 2.945716101641438877e-15 1.031258812717718249e-15 9.044367037137631437e-17 2.783909695321563484e-17
2.840964133851983258e-12 3.565443138788806763e-13 2.095581269439081669e-14 7.071364683113240092e-15 2.376711108581180529e-15 8.501010315982794868e-16 8.251816828679807578e-17 2.547065877605207833e-17
