1.401862669474352617e-24 2.711450266715660033e-25 1.033173047619110511e-25 4.607256440492561441e-26 1.691932615495684666e-26 6.272708235824415604e-27 5.513668482439545064e-27 2.221934145676686473e-27
1.748884692057602667e-24 3.315936139206819854e-25 1.251442953708266576e-25 5.574991382622821273e-26 2.046912251492143280e-26 7.577403748699350088e-27 6.396699399925263577e-27 2.577313807959075971e-27
2.178626017619463207e-24 4.054182062143202900e-25 1.514622922095084666e-25 6.737834400652957926e-26 2.473800025528222604e-26 9.146818076305578291e-27 7.395877060777055047e-27 2.979205326182738295e-27
2.708988824134716166e-24 4.953952164174339241e-25 1.831231212115294808e-25 8.131000131695379266e-26 2.985399584324276960e-26 1.102846302861737088e-26 8.516174698301240894e-27 3.429333547394103375e-27
3.361161180159304486e-24 6.048058915304577458e-25 2.211267537825326629e-25 9.795393893678343641e-26 3.596587300056346016e-26 1.327746724410872813e-26 9.759230103219377748e-27 3.928174863853064840e-27
4.159890301364906807e-24 7.374238474098883074e-25 2.665935274612562981e-25 1.177646306758097170e-25 4.323737990139762421e-26 1.595444999374532523e-26 1.112582056694162522e-26 4.475455698037870548e-27
5.132717601149511048e-24 8.974960887508268091e-25 3.207754210504143080e-25 1.412606641945294018e-25 5.185630621366814488e-26 1.912956936600849386e-26 1.261758507066012500e-26 5.071406315439427696e-27
6.312060201706636413e-24 1.089918236186457277e-24 3.851084862417305421e-25 1.690043457076218947e-25 6.202081352409660123e-26 2.287672323712261668e-26 1.422879832569118538e-26 5.713154838055225236e-27
7.731498073495145628e-24 1.319758168139296676e-24 4.609758878395744188e-25 2.015414764043646684e-25 7.393122433774976946e-26 2.727179897725062956e-26 1.595511538697778105e-26 6.398324929148964878e-27
9.429893804362028237e-24 1.592516489157540745e-24 5.499556854711956512e-25 2.395015683009689810e-25 8.780571594941050450e-26 3.239669080268452248e-26 1.778148470298845539e-26 7.119897470772290631e-27
1.144276455182516715e-23 1.913525637543464093e-24 6.534893895487835408e-25 2.834558581091677223e-25 1.038447572908485334e-25 3.832673187739214225e-26 1.968947811558454430e-26 7.869131011806661914e-27
1.380933482527299227e-23 2.287571311645052939e-24 7.727782633134036465e-25 3.338446939451265872e-25 1.221931770224497410e-25 4.511684964522974626e-26 2.165263140390289467e-26 8.634081454614491335e-27
1.655680347678034790e-23 2.718089029032249032e-24 9.086171806789171886e-25 3.909774812780244900e-25 1.429464450186037151e-25 5.280432109784457783e-26 2.364240126547055178e-26 9.400613682654835956e-27
1.970841472176898473e-23 3.206851872901845474e-24 1.061121430429350651e-24 4.549162612149835841e-25 1.661450261995685156e-25 6.140743272562373192e-26 2.563334785784954129e-26 1.015478062451415407e-26
2.326678688645554156e-23 3.751199878783572486e-24 1.229113576972106545e-24 5.251466027869476258e-25 1.915777934007381848e-25 7.085099590813323950e-26 2.759721486643154027e-26 1.087863561814500295e-26
2.720912413662033555e-23 4.343804059733473711e-24 1.409901697085544788e-24 6.006997703647350521e-25 2.189450776705952832e-25 8.102932500935807325e-26 2.952533055952738142e-26 1.156025533113076148e-26
3.147447911982163531e-23 4.969611341269993307e-24 1.598335957777363753e-24 6.796688465640214568e-25 2.476218989144500847e-25 9.171616638475053419e-26 3.141900073714938856e-26 1.218901294188517779e-26
3.594841651661589931e-23 5.602115545187442413e-24 1.785991231545533877e-24 7.590572994354271784e-25 2.766943013012446818e-25 1.025943099154660963e-25 3.327709924961031381e-26 1.275773973800609208e-26
4.045437139364029039e-23 6.205152643099204880e-24 1.960320815036857980e-24 8.344125497156116255e-25 3.047859470157664540e-25 1.131843445771434096e-25 3.507418746408089786e-26 1.326501606481959014e-26
4.473857535343652558e-23 6.727000019079401660e-24 2.103006630062605288e-24 8.995253453166491314e-25 3.300798254866901539e-25 1.228675422701472072e-25 3.674740163826407476e-26 1.370341758271749218e-26
4.862633126397408793e-23 7.143649382271272366e-24 2.205192517665934579e-24 9.503780897366727632e-25 3.510800398252018243e-25 1.310813937886674904e-25 3.819986871491426157e-26 1.405212097977677362e-26
5.200093685843469512e-23 7.439755497946925652e-24 2.263895152547674926e-24 9.844640776211813089e-25 3.665466378756116234e-25 1.373203591913227193e-25 3.929060644103161628e-26 1.426950244792886135e-26
5.463394525915760913e-23 7.581269297567076990e-24 2.269022540196217494e-24 9.972204948709290514e-25 3.748098652938693029e-25 1.409622588130887964e-25 3.986999751698505302e-26 1.430789646434092633e-26
5.633448050018453818e-23 7.539052195550250333e-24 2.212405385803959522e-24 9.848151475281247787e-25 3.743867197423450627e-25 1.414427051401234186e-25 3.994443759102111118e-26 1.419663888169187049e-26
5.695607120802508848e-23 7.298440300434178549e-24 2.090828137808977214e-24 9.450051216277967085e-25 3.643235522524491820e-25 1.383945724961774220e-25 3.955387297654211527e-26 1.397671626300458262e-26
5.642929100389609801e-23 6.859670629599971603e-24 1.905542099045472907e-24 8.774824354393352158e-25 3.442683953678353750e-25 1.316595616197478277e-25 3.856136297663638856e-26 1.358897710987017028e-26
5.481474540450219096e-23 6.242833187133958176e-24 1.664333220891755366e-24 7.843295764852685974e-25 3.146324531614803106e-25 1.213522088060744359e-25 3.688901506535769581e-26 1.299139982682572662e-26
5.227027234278573725e-23 5.490590190138152227e-24 1.381107655063854641e-24 6.702348961219472532e-25 2.767202555682784170e-25 1.079118633808308846e-25 3.456911145157819804e-26 1.218620956100626190e-26
4.902240493981095606e-23 4.663534029014135387e-24 1.076389204456998934e-24 5.425861918061696590e-25 2.326577061708385484e-25 9.205452286548148829e-26 3.170577328082853489e-26 1.120446571506798825e-26
4.533598028193599659e-23 3.841367939681445356e-24 7.785920168414562234e-25 4.120197281266815180e-25 1.855963803425119761e-25 7.484212530435870058e-26 2.845546969534381446e-26 1.009690434855269023e-26
4.154676687282287309e-23 3.119367132943243526e-24 5.203988256858700219e-25 2.916033070415151974e-25 1.395641415702229947e-25 5.763492079806440598e-26 2.499669153690238441e-26 8.923171698993498298e-27
3.793155878652635951e-23 2.558441485651233627e-24 3.245288775910420094e-25 1.928377254523134294e-25 9.872161015222671722e-26 4.190368624238914720e-26 2.150784102664531174e-26 7.743488512372141126e-27
3.463823427694528769e-23 2.157408317174755389e-24 1.923563041508763615e-25 1.205376486131555934e-25 6.591142918578894452e-26 2.879045009837970747e-26 1.814774133943100337e-26 6.610668803843527693e-27
3.173134897679573625e-23 1.879693650152587375e-24 1.102261303913680551e-25 7.225869186439311569e-26 4.187893447500406727e-26 1.879140005627481760e-26 1.504371190641768017e-26 5.566653807020137438e-27
