1.803018585518735940e-25 1.834052631757252349e-26
2.242923046483021643e-25 2.222453055762318054e-26
2.788210067857214622e-25 2.691512238653747777e-26
3.461920308247270517e-25 3.256871553798918347e-26
4.291669725910180839e-25 3.936976569724631725e-26
5.309708307592467787e-25 4.752556918490569309e-26
6.552286261152472550e-25 5.726647035443814220e-26
8.061222433252992013e-25 6.886179233832302053e-26
9.880083907879945304e-25 8.257113082501406979e-26
1.205926944672302473e-24 9.868912256944169027e-26
1.464373149194716512e-24 1.174864598939494602e-25
1.768563531885424511e-24 1.391967059806418452e-25
2.121926880736824367e-24 1.639725282979625502e-25
2.527623335325680892e-24 1.918331454225639829e-25
2.985754590156465103e-24 2.225670250153062783e-25
3.493145481616056524e-24 2.556497601480098522e-25
4.041566266428234258e-24 2.900857073105433729e-25
4.615376298705256573e-24 3.242240158176994560e-25
5.191133662072763981e-24 3.555959186425425431e-25
5.734649776189802461e-24 3.805475481105798420e-25
6.224374089644001681e-24 3.975578963744375712e-25
6.641847656984164805e-24 4.063373593788092438e-25
6.956718535408237467e-24 4.051093324854126883e-25
7.142569245292067982e-24 3.924694370837127335e-25
7.181022977189421074e-24 3.679996352870076254e-25
7.064460693301134576e-24 3.321042158504534455e-25
6.802336768344635374e-24 2.864249244990734625e-25
6.418869806197944161e-24 2.337261707292501570e-25
5.948110198289521513e-24 1.779993795379535759e-25
5.428823487187383049e-24 1.247150588258091041e-25
4.913876219680827906e-24 8.001695235565668766e-26
4.442522544548297616e-24 4.765796824307038043e-26
4.029902681528591513e-24 2.700474245344276081e-26
3.676492762438272086e-24 1.487172101367462477e-26
3.378692668337195632e-24 8.051988177514038459e-27
3.130894943541579000e-24 4.296943144860303091e-27
2.920397795881081864e-24 2.258374349592897147e-27
2.736992756585286060e-24 1.167901292122527418e-27
2.571964050221640796e-24 5.868088698977832083e-28
2.353001458623606952e-24 2.501062579684315369e-28
2.082403712771243998e-24 1.002574998809572875e-28
1.806389478367343092e-24 4.323863642041758886e-29
1.528486428248124735e-24 2.054349649278321598e-29
1.256779586618323953e-24 1.082060647700319556e-29
1.002487940227536421e-24 6.228252817691361439e-30
7.759345167163640274e-25 3.842659121216315706e-30
5.839550668478459827e-25 2.484857973951456535e-30
4.282344787133435484e-25 1.654058477713959459e-30
3.070314238923136128e-25 1.119309536869431051e-30
2.159845360467719957e-25 7.638648451567673404e-31
1.496961588435782176e-25 5.234435415731554111e-31
1.027359213496833608e-25 3.591021372031580139e-31
7.036933127210927296e-26 2.451892156456796011e-31
5.085716542256283947e-26 1.704138799984068480e-31
3.207846320130185674e-26 1.206370230504623985e-31
1.988971720316269333e-26 8.520898804135422614e-32
1.223221363628947662e-26 5.979699287348092417e-32
7.480110922296596882e-27 4.129730581232328582e-32
4.483883021445819754e-27 2.469055710875141127e-32
0.000000000000000000e+00 0.000000000000000000e+00
