2.150468130275133944e-24 9.715077442308800489e-25 4.108748029925572062e-25 1.352466137157459461e-25 6.669479100460146446e-26 3.630953471250011385e-26 1.713052067965987893e-26 5.729259928039618423e-27 3.386602646667518050e-26 2.487350457597224365e-26 1.838723943691097068e-26 1.233263829022941517e-26 8.586232128315911290e-27 5.617403188820923269e-27 2.729205586750605246e-27 1.216145338032614256e-27 1.320885944620997044e-26 1.086563635778902467e-26 8.784139666119535931e-27 6.427128465343907962e-27 4.872253068369077097e-27 3.599764091340017196e-27 2.464541924749440789e-27 1.144134137369248639e-27 1.427658581221649781e-27 6.716485869511573492e-28
2.724481871343250422e-24 1.211456794543255780e-24 5.059788198070976793e-25 1.637513748325231808e-25 8.054271082474530310e-26 4.390760913220100684e-26 2.078050015058067934e-26 6.969179516343723218e-27 4.007872957671816374e-26 2.928863333369868878e-26 2.156000908931999790e-26 1.439977652544705575e-26 1.000456875744684917e-26 6.536968286143037315e-27 3.171732398102001999e-27 1.412939283959089775e-27 1.530748243500256469e-26 1.259026928908614132e-26 1.017708088663521716e-26 7.444701205757447050e-27 5.642734221710933278e-27 4.168212854501372425e-27 2.852920500646319539e-27 1.324299676990873619e-27 1.669218921060955024e-27 7.860189831593549665e-28
3.467985436194798502e-24 1.509561331330590554e-24 6.231807540674694377e-25 1.982233192025461760e-25 9.716494347117049341e-26 5.301222765267626360e-26 2.515913839037118884e-26 8.459461627297988999e-27 4.744004555044007808e-26 3.448673723183586805e-26 2.527048240190362168e-26 1.679301204156647318e-26 1.163559791219932607e-26 7.589829071916499687e-27 3.675734110439817887e-27 1.636793617679511206e-27 1.767730576511857335e-26 1.453728247742008309e-26 1.174925401796281866e-26 8.592689822584172101e-27 6.511723008550043928e-27 4.809172926099596322e-27 3.290726035354377516e-27 1.527371940015899782e-27 1.942058934008971523e-27 9.152936996965860756e-28
4.418297072081482863e-24 1.878715862457698000e-24 7.673154918395988817e-25 2.398666800081039210e-25 1.170846273669135728e-25 6.388178971477726545e-26 3.039528395625787137e-26 1.024630800029951752e-26 5.615092225794936762e-26 4.060116863580572014e-26 2.960757736135780292e-26 1.956280451753427703e-26 1.350850085155570956e-26 8.791834667610606950e-27 4.246798466336682031e-27 1.889867129194025634e-27 2.032669165851958213e-26 1.671341348600957061e-26 1.350599665971633015e-26 9.874841691246179516e-27 7.481993452788918463e-27 5.524634020914947783e-27 3.779269480031566439e-27 1.753947295133148894e-27 2.246582039562369587e-27 1.059684436747224384e-27
5.621566406821532947e-24 2.334288663355952554e-24 9.441508064874044766e-25 2.900996388194880777e-25 1.409046714826508172e-25 7.682791758426228358e-26 3.663102079300716347e-26 1.237733380462919525e-26 6.643291409647070532e-26 4.777488506553940478e-26 3.466290460704661752e-26 2.275712494719439567e-26 1.564840530169488169e-26 1.015474102051500115e-26 4.888260040423954630e-27 2.173348522949930661e-27 2.325630695081242214e-26 1.911889736223281513e-26 1.544724995444049106e-26 1.129071842432562659e-26 8.553023273273707036e-27 6.314097626780831204e-27 4.318134846642937448e-27 2.003824051885647511e-27 2.581771207416146204e-27 1.218712884413420432e-27
7.132920456001429105e-24 2.894251860134562157e-24 1.160386321878591826e-24 3.505386466424869942e-25 1.693128698788249970e-25 9.218769936016277734e-26 4.402732934603675302e-26 1.491033146781098239e-26 7.854370029802726949e-26 5.618059873655787429e-26 4.055189662914522096e-26 2.644234067390355599e-26 1.809398453149228619e-26 1.169893267307956171e-26 5.606253774811160102e-27 2.489497373861490594e-27 2.646143116253028919e-26 2.174967269721032290e-26 1.756956161895662228e-26 1.283757304283252672e-26 9.722594452754165152e-27 7.175848166766281211e-27 4.906024992421976625e-27 2.276373568340299706e-27 2.946537536338677242e-27 1.391869542332171433e-27
9.017227085358652535e-24 3.578827893921122226e-24 1.423492033200203531e-24 4.229573289234849813e-25 2.030837533367748751e-25 1.103568041452842495e-25 5.276317014196520703e-26 1.790482226815428372e-26 9.279950061368065847e-26 6.603123537957849270e-26 4.741876102226964927e-26 3.070162673029980450e-26 2.089489289481876113e-26 1.345086037971804740e-26 6.408172186076161971e-27 2.840987830327161344e-27 2.993633216409169796e-26 2.460038659193563194e-26 1.986829670338276011e-26 1.451194083674065807e-26 1.098809258905232929e-26 8.107916921428643268e-27 5.541579393180771579e-27 2.570962493656723220e-27 3.339278856601535409e-27 1.578404750012672734e-27
1.134932888654160526e-23 4.411396690803714348e-24 1.742269313931468682e-24 5.095050241006247176e-25 2.431151994861516692e-25 1.317501628156667662e-25 6.303124957672260977e-26 2.142759693237548811e-26 1.095325532820076426e-25 7.755212784378957838e-26 5.541392875114492840e-26 3.562113554819288641e-26 2.410195301126293860e-26 1.543781858118936211e-26 7.300656501568736802e-27 3.229643983373019666e-27 3.366884712636983058e-26 2.766201358649836700e-26 2.233641492584494563e-26 1.630724245258797597e-26 1.234380448035565900e-26 9.105799782386915908e-27 6.221543104586524017e-27 2.886058101556686769e-27 3.757373956525490383e-27 1.777075597193182305e-27
1.421295598741623053e-23 5.416865395880638451e-24 2.126014693594238938e-24 6.122727904864766401e-25 2.902331875107510453e-25 1.567705313815653328e-25 7.499950955621403431e-26 2.554241717541488061e-26 1.291003235201049394e-25 9.098735112070342637e-26 6.470482825853905982e-26 4.130095931768302208e-26 2.777686238645673055e-26 1.769494949942439508e-26 8.294370246106479513e-27 3.658936735221303948e-27 3.762871595079133609e-26 3.090774810129085129e-26 2.495115679971004935e-26 1.820798432674840905e-26 1.377872813538667507e-26 1.016167043060149270e-26 6.940639675477309131e-27 3.219205081895179424e-27 4.196377826555553689e-27 1.985769182597377028e-27
1.770328444927808989e-23 6.623370897555421613e-24 2.584680062056468245e-24 7.336109317986875588e-25 3.454489838423164495e-25 1.858801045076072563e-25 8.891699630470907280e-26 3.031619216624612487e-26 1.518960448530285227e-25 1.066096865682847850e-25 7.547845705445008403e-26 4.785208349599043785e-26 3.198834156923622735e-26 2.026140810467769715e-26 9.401413243019837878e-27 4.132436732985635785e-27 4.177416471007140940e-26 3.430432692446793106e-26 2.768644578238178977e-26 2.019338051583100237e-26 1.527583252258770128e-26 1.126225234443867737e-26 7.689443660209749160e-27 3.565990534150492153e-27 4.650572538454335224e-27 2.201771862537772084e-27
2.192240635963135913e-23 8.056775071922951026e-24 3.128080272157202926e-24 8.756430707036015008e-25 4.096912866776977975e-25 2.195132193506945271e-25 1.049348227643419715e-25 3.582670491026585511e-26 1.782992000558805383e-25 1.246874876865895289e-25 8.792289158500143637e-26 5.539134816844630776e-26 3.681081928506285817e-26 2.318016329303736072e-26 1.063705443269973389e-26 4.655443828336388751e-27 4.604385145232681721e-26 3.780108335950281577e-26 3.050070809089302624e-26 2.223413753428568401e-26 1.681376473247234504e-26 1.239228751880077104e-26 8.457559594084061296e-27 3.921569995917915434e-27 5.112153852667134754e-27 2.421367419136778499e-27
2.697927266318884737e-23 9.745562888905203473e-24 3.765607228154934615e-24 1.040413854549898057e-24 4.837399767637059221e-25 2.580244467866830703e-25 1.231902874556046070e-25 4.209991729851972284e-26 2.086425089802066881e-25 1.454575120038633442e-25 1.022060816051013608e-25 6.402245081045609631e-26 4.231120637116715416e-26 2.649042221636569586e-26 1.201612289104566160e-26 5.233385044968403248e-27 5.035608134348668764e-26 4.133052892439730143e-26 3.333998172884586142e-26 2.429069080381885512e-26 1.836241212425733753e-26 1.352943913958158083e-26 9.229986016039020250e-27 4.279063239799216956e-27 5.571512116301635112e-27 2.639990060963363516e-27
