9.279852502819303880e-25 3.875660738004923127e-25 1.890861920937072770e-25 7.775462211986405954e-26 3.784173468495518693e-26 1.958408392546054074e-26 8.909349770455133687e-27 3.628851555505213812e-27 4.264001655464352167e-27 1.798307810039461815e-27
1.144197124621818438e-24 4.707450764365843861e-25 2.287301610086246362e-25 9.404718960557396028e-26 4.570305636647931951e-26 2.355029392109515986e-26 1.060362659543452618e-26 4.293049451212567888e-27 4.942411277252615969e-27 2.083928050691450959e-27
1.410053712404286182e-24 5.714719123989730490e-25 2.764073712224146527e-25 1.136074667975176718e-25 5.514263697296067912e-26 2.830547596182185712e-26 1.262029025708300916e-26 5.079186500485334055e-27 5.708561752300153115e-27 2.406312000479457842e-27
1.736071562539046757e-24 6.931965382668439765e-25 3.336024558407395864e-25 1.370110912610896823e-25 6.643786552188324568e-26 3.398810144148772722e-26 1.501534098316533290e-26 6.008117672887744624e-27 6.565178996898259798e-27 2.766538893924041257e-27
2.134738854950584272e-24 8.399714848461086987e-25 4.020421287938150964e-25 1.649240105603704144e-25 7.990911229141915887e-26 4.075867527246482141e-26 1.785232288152897698e-26 7.102843376622687644e-27 7.512544039389299258e-27 3.164612315796789791e-27
2.620495368062722790e-24 1.016374436219479085e-24 4.836627317868150254e-25 1.980830449003336697e-25 9.591016009392373963e-26 4.879447287880388989e-26 2.120267654105789587e-26 8.390056104549711383e-27 8.549219106137267230e-27 3.599850277848870480e-27
3.209540018128157711e-24 1.227554313684450751e-24 5.806397329952679254e-25 2.373289746195091091e-25 1.148452874517267069e-25 5.830170889823455253e-26 2.515298517860684433e-26 9.902365825949344293e-27 9.673539518883321760e-27 4.071327995691705367e-27
3.920620977881425365e-24 1.479420085063586802e-24 6.954327119660437879e-25 2.835551603157790877e-25 1.371411494046580779e-25 6.949577045956804802e-26 2.979281472865922528e-26 1.167369065667706472e-26 1.088130392769992853e-26 4.577501485006152115e-27
4.773205255499354722e-24 1.777842213225238357e-24 8.304039690695680060e-25 3.376377936796033543e-25 1.632286848264603364e-25 8.260437674758043079e-26 3.521863848514654642e-26 1.374075427577515797e-26 1.216319115456082497e-26 5.113927253218301887e-27
5.789394752732326988e-24 2.129372873500958518e-24 9.882815865807072462e-25 4.005745932655803734e-25 1.935815505081686097e-25 9.786137070243290137e-26 4.153260156085995707e-26 1.614307678358041055e-26 1.350562509882042673e-26 5.675059579469038426e-27
6.989532200938084915e-24 2.540148963233287974e-24 1.171537941251270896e-24 4.732765141578433218e-25 2.286309651584307714e-25 1.154959952787408912e-25 4.883206267229260764e-26 1.891873088910147565e-26 1.488868827875171553e-26 6.252521846959627471e-27
8.394716677744300219e-24 3.015454991232291078e-24 1.382197003106392209e-24 5.564027112152648569e-25 2.686924268079499249e-25 1.356784236180140671e-25 5.719947976221387866e-26 2.210003373783308363e-26 1.628639640387764217e-26 6.835101529585638959e-27
1.001902661830098190e-23 3.558855157278985770e-24 1.621651799038353956e-24 6.504205575233710940e-25 3.139814874115261223e-25 1.585270014629592143e-25 6.669605141744486074e-26 2.571281848102326968e-26 1.766739073849595838e-26 7.409366771640889564e-27
1.187297196068156069e-23 4.171157952892479459e-24 1.890151863165053629e-24 7.555099172600505331e-25 3.646151709310552743e-25 1.841130629990889461e-25 7.735479749831262954e-26 2.977028730741101276e-26 1.899969905898859694e-26 7.961424970215226602e-27
1.395251209790474111e-23 4.847878725039267142e-24 2.185674406936483729e-24 8.708041449235464682e-25 4.201720784627276915e-25 2.122520394734552463e-25 8.912464375845522763e-26 3.425863510369115224e-26 2.024331905969523747e-26 8.474103237272490930e-27
1.623731021379125030e-23 5.578223823061094572e-24 2.503774700405810037e-24 9.948746597393340521e-25 4.800470290498300878e-25 2.426828422036402683e-25 1.019164872743981825e-25 3.914690404246102641e-26 2.136489484767926312e-26 8.932733755081608675e-27
1.868248853435698080e-23 6.341608474388975789e-24 2.835937220638783655e-24 1.124761375361352988e-24 5.429144225764869296e-25 2.747665585899200279e-25 1.154850311765618692e-25 4.434700179811432069e-26 2.232756625336581529e-26 9.320463508126340881e-27
2.120649540393323146e-23 7.103294990245004133e-24 3.168293326844869657e-24 1.255943460051868687e-24 6.068243168224617789e-25 3.076143536455942348e-25 1.295022359031682929e-25 4.973996279563499565e-26 2.309268435925081033e-26 9.620042491525682461e-27
2.368944184395362065e-23 7.812219801976892036e-24 3.480346566117673818e-24 1.381694062836553159e-24 6.688354931208454464e-25 3.398392675301251513e-25 1.434177547049645581e-25 5.512072101772044424e-26 2.362443656674771139e-26 9.814762983638025585e-27
2.595816932287703803e-23 8.394168907392794443e-24 3.742682991421586850e-24 1.492855980003841523e-24 7.250881806052466882e-25 3.696676595414418801e-25 1.565577445675173290e-25 6.024183642201816468e-26 2.388458746933880380e-26 9.886151516336071597e-27
2.791310254026696827e-23 8.816148146244372453e-24 3.938823014575737331e-24 1.582716027824176895e-24 7.722650477343959540e-25 3.953749787194317347e-25 1.681732959726985036e-25 6.481472785827739663e-26 2.384353708612480437e-26 9.818294227555938280e-27
2.948438101218842311e-23 9.065874136315818678e-24 4.060862792063794484e-24 1.646331930105140357e-24 8.075273211431799324e-25 4.153415729021307338e-25 1.775154395972434682e-25 6.853941490875766672e-26 2.346373507316434669e-26 9.590904650215432502e-27
3.053699116240824034e-23 9.102015000862115760e-24 4.090259516756979659e-24 1.676127629814645159e-24 8.272088095460420949e-25 4.276943907510929943e-25 1.837893737847797903e-25 7.110853442455453242e-26 2.271463152790910117e-26 9.186382717952409329e-27
3.095599506270334758e-23 8.890584166588106650e-24 4.011672926112836242e-24 1.665548120972357917e-24 8.280272328415381286e-25 4.307072512871879932e-25 1.862422280037029875e-25 7.223045858019976285e-26 2.178967603811271373e-26 8.698571683001986496e-27
3.066874205943165980e-23 8.417531432385680945e-24 3.817769032430916956e-24 1.610492009634928344e-24 8.078582264471889317e-25 4.232495208834486896e-25 1.843831223414502151e-25 7.171866693456372093e-26 2.093493937740975308e-26 8.263372017053432260e-27
2.965449899123160342e-23 7.687953461006423273e-24 3.508965463870409574e-24 1.509806406439992825e-24 7.658603635230363064e-25 4.047873495683479698e-25 1.779322059692795555e-25 6.945850982357065660e-26 2.006276183266909583e-26 7.859942361260048360e-27
