1.627145479213354072e-23 7.466996469050486143e-26 1.930832364362305901e-26 7.415968515288998527e-27 7.984715653276531244e-26 5.187052409952533872e-26 3.257986735480456927e-26 1.941520574864803056e-26 1.266454401585931558e-26 8.477542122162626216e-27 5.159351219275477453e-27 2.293909034954612766e-27 2.956398059003030934e-27 1.316076448572598564e-27
2.087738196482897951e-23 9.262399918429249875e-26 2.359092882212817448e-26 8.999966571260209484e-27 9.579198633723823435e-26 6.181696727842148007e-26 3.847833576813712181e-26 2.273312199589722210e-26 1.476018043249204334e-26 9.858393140261420087e-27 5.992231967366902115e-27 2.663403314615848407e-27 3.423403380704687739e-27 1.523738176359969963e-27
2.701725075509846021e-23 1.148067434779505598e-25 2.881936628924733932e-26 1.091776609405322621e-26 1.148685011322438053e-25 7.366700557716344731e-26 4.544228815748766524e-26 2.660031221583207270e-26 1.717135805817058903e-26 1.143527183661600276e-26 6.938624665576412331e-27 3.082809999468779441e-27 3.949580646723927342e-27 1.757651139381224082e-27
3.503303591004723336e-23 1.421377148905901127e-25 3.519183771887767732e-26 1.323562842574691783e-26 1.376160160866071290e-25 8.774717557304917493e-26 5.364823869876215367e-26 3.110231559822880604e-26 1.994032575115305390e-26 1.322834242617796558e-26 8.006732108227527162e-27 3.555237471813402167e-27 4.536275562256162558e-27 2.018441869927646533e-27
4.535053637108062989e-23 1.757042728983409556e-25 4.294254864530512869e-26 1.603197357265754307e-26 1.646610220004756106e-25 1.044318550884228894e-25 6.329017193346741839e-26 3.632676093498679631e-26 2.310528064947942478e-26 1.525170372336983270e-26 9.201025869277758776e-27 4.082110882942630960e-27 5.182741855657401482e-27 2.305709108578779314e-27
5.848673264435202118e-23 2.167715335289627456e-25 5.234135500467046813e-26 1.939511083156283867e-26 1.966895927846988116e-25 1.241329202282045022e-25 7.459145553064644094e-26 4.238052399199952696e-26 2.671900739930310720e-26 1.752825754500750585e-26 1.052874478822369496e-26 4.665809327330800419e-27 5.887119083896818863e-27 2.618628598480950146e-27
7.506451190000771227e-23 2.667567118663901923e-25 6.369116754919737228e-26 2.342487286274139100e-26 2.345088830696014606e-25 1.473503017057257830e-25 8.782700623551049095e-26 4.939908484788930767e-26 3.085123866969746859e-26 2.009006328891614627e-26 1.199892445418379355e-26 5.309061892517850600e-27 6.647535356414549529e-27 2.956363263887321028e-27
9.579069738097400657e-23 3.273191163651898628e-25 7.734615608096219187e-26 2.823677021727225406e-26 2.789506327096602467e-25 1.745936741589169783e-25 1.032775723141073472e-25 5.751624742215358162e-26 3.556721753309427159e-26 2.296622489305167037e-26 1.361682983849839918e-26 6.012580650737834306e-27 7.459817889676092966e-27 3.317007706311706856e-27
1.214819449176313424e-22 4.001800516747598154e-25 9.366842999448232319e-26 3.394548111113222030e-26 3.309057777814660570e-25 2.064131820261900214e-25 1.212494517506888142e-25 6.688596249428587586e-26 4.094774411265141129e-26 2.619696176096877092e-26 1.539233549683373512e-26 6.778461271543824200e-27 8.317037928704205591e-27 3.697394047014121898e-27
1.530662030811397089e-22 4.873160751384867201e-25 1.130547834963817221e-25 4.067798954270807419e-26 3.912717080854133578e-25 2.433788057370319231e-25 1.420662944887685176e-25 7.766777074007789807e-26 4.707495440456925074e-26 2.982358543430519794e-26 1.733491699551380686e-26 7.607154616577908480e-27 9.208014311127346325e-27 4.092760223696737056e-27
