1.054500940774847684e-11 4.675378224069081990e-15 6.282984872027104214e-16 2.091198096201288567e-16 6.473875235453936463e-16 3.573489532689484486e-16 1.784396675107398060e-16 8.541882002575122392e-17 4.633570090999084455e-17 2.596778124819889971e-17 1.307044469097957362e-17 5.459714160775150738e-18 1.696309968681568315e-18 7.089217769994917242e-19
1.359844719150113005e-11 5.840204861132055268e-15 7.802534803591661734e-16 2.560573188171037164e-16 7.860827602150996316e-16 4.332566578662045399e-16 2.151835331612890885e-16 1.017103089498698775e-16 5.451289358053662316e-17 3.034299536379535404e-17 1.520858192863043852e-17 6.347476962156997293e-18 1.965550479882501606e-18 8.213880745633789924e-19
1.761934960338198510e-11 7.284407385195516858e-15 9.687277983559009355e-16 3.135396926300358010e-16 9.531300190435948646e-16 5.248552316309267156e-16 2.594749620274700475e-16 1.213427656849249909e-16 6.420198948008499907e-17 3.542399864937080660e-17 1.765552295338962581e-17 7.359842009038396385e-18 2.269232687835280096e-18 9.482810825024617800e-19
2.282253591149963478e-11 9.066986772408965874e-15 1.201879372757722467e-15 3.838041755828577510e-16 1.153547472090264503e-15 6.348380011781419130e-16 3.126871933726633952e-16 1.449045502659094726e-16 7.571387346337531008e-17 4.133118882087285355e-17 2.045380408908995944e-17 8.509122118505278728e-18 2.608022985478111362e-18 1.089861318763099900e-18
2.947275230043268505e-11 1.125709032108147388e-14 1.489453994053038003e-15 4.695067735489370060e-16 1.393073341273648634e-15 7.665664401970490726e-16 3.764290584847766875e-16 1.731088078653061363e-16 8.940569539435785857e-17 4.818628746525798317e-17 2.363331776996901603e-17 9.803344495898973986e-18 2.981941323919780280e-18 1.246118315468493866e-18
3.788525026755777536e-11 1.393454244184582859e-14 1.842871663666071316e-15 5.736765072690327911e-16 1.678110146160321445e-15 9.235336785444127595e-16 4.523961368533612696e-16 2.067202609333175944e-16 1.056705112625172686e-16 5.618292778080048557e-17 2.724232007778181903e-17 1.125804365874472719e-17 3.389923514100262417e-18 1.416576602003206130e-18
4.843484180141350088e-11 1.719110828534468382e-14 2.275057027095390162e-15 6.997845996939713353e-16 2.015751788399141826e-15 1.109834425526165612e-15 5.426415955102692401e-16 2.466601458476381150e-16 1.249728069250046108e-16 6.557074941420231863e-17 3.134678587888619231e-17 1.289382039555702549e-17 3.831007999854991934e-18 1.600789996430171613e-18
6.153946119023624508e-11 2.113136026375121528e-14 2.800796382027806336e-15 8.518045046407291116e-16 2.413493636723528385e-15 1.329653539852804447e-15 6.492557209133651500e-16 2.938929676378251301e-16 1.477782511380456507e-16 7.659810096463441061e-17 3.602272166913573438e-17 1.472992914721299452e-17 4.303084637107327627e-18 1.797865812345004734e-18
7.769825522612458822e-11 2.586959983623806174e-14 3.436104961017447806e-15 1.033909649535122233e-15 2.879078969289981821e-15 1.587482600503429767e-15 7.744548977465285957e-16 3.494062223264206553e-16 1.745959441707559813e-16 8.954579208156597821e-17 4.138582597358954102e-17 1.679376689681552362e-17 4.802706922739861505e-18 2.006307821240481383e-18
9.744155254164512159e-11 3.153537931803274755e-14 4.198417467314355939e-15 1.250578355384720167e-15 3.420425076985575861e-15 1.887814622284245121e-15 9.205166194750160595e-16 4.142738925391503423e-16 2.059372687704876775e-16 1.046822904310067048e-16 4.758020945731523839e-17 1.912308540893777949e-17 5.322612366765418067e-18 2.222913944523276371e-18
