4.494168945831839568e-24 1.184380824836122833e-25 6.610377802235642752e-26 3.764466332126225617e-26 1.231201268990552130e-26 4.890223097791458406e-27 4.593449687571076641e-26 3.209945603446222801e-26 2.220585131632396625e-26 1.455397530717757694e-26 9.881763259348950646e-27 6.624206785353147399e-27 4.399001220579815180e-27 1.963646531720729797e-27 2.569910013366320974e-27 1.164183979626954753e-27
5.635803145691547856e-24 1.456394230073234940e-25 8.036502411247448407e-26 4.563454822604629863e-26 1.491607748939552509e-26 5.931442530325665547e-27 5.392481988609015964e-26 3.747942394539970683e-26 2.584197359531818112e-26 1.690993117934772752e-26 1.147448315479071345e-26 7.689092426003912303e-27 5.104652467875872875e-27 2.278422283246110941e-27 2.974671597728855160e-27 1.347384950436444441e-27
7.102276442800666449e-24 1.789459455637054363e-25 9.764399890334742681e-26 5.527079572467678632e-26 1.804420154385948628e-26 7.181904523792618567e-27 6.327911355250825471e-26 4.370535000157100463e-26 3.000490051958382783e-26 1.959135414079290635e-26 1.328293904318971705e-26 8.896712314904839646e-27 5.903803328309709040e-27 2.634725393367407495e-27 3.430237499832870859e-27 1.553510565374988297e-27
8.962123603693698777e-24 2.196301291209872031e-25 1.185390726350185447e-25 6.686745559389769288e-26 2.179019293721306879e-26 8.678512966773142187e-27 7.421195164165151487e-26 5.090228478280890664e-26 3.475497255675718641e-26 2.262608250997888851e-26 1.532124332352688306e-26 1.025491314455336551e-26 6.800858753897226379e-27 3.034379125121159021e-27 3.937809003493021813e-27 1.783080656952971126e-27
1.130314582307862598e-23 2.691911977372568198e-25 1.437499454235741996e-25 8.079067783611591744e-26 2.626318872571160078e-26 1.046402736771160955e-26 8.694961083588124409e-26 5.919165774500747375e-26 4.014047707106903101e-26 2.603097786752011087e-26 1.759643340340381235e-26 1.176711485950806515e-26 7.797495262138628224e-27 3.478041091213212781e-27 4.496258243388209369e-27 2.035531545041465742e-27
1.422889128810122861e-23 3.293494859754996177e-25 1.740734953597644354e-25 9.745356149951815063e-26 3.158565759053317673e-26 1.258581986941017991e-26 1.017624313166988777e-25 6.872973127491414828e-26 4.623539190631896332e-26 2.983333243489689557e-26 2.012022541973694411e-26 1.343831782593190694e-26 8.895411706968234950e-27 3.966161882394325481e-27 5.104021037512897569e-27 2.310169010404631540e-27
1.786067412124002987e-23 4.020078210287284913e-25 2.104019910985617801e-25 1.173171198218590122e-25 3.789385148014970103e-26 1.509739900819334525e-26 1.189890646767075361e-25 7.971824657578238142e-26 5.314012914725279171e-26 3.406927936115919080e-26 2.290670398116480183e-26 1.527352561686268767e-26 1.009638402215451998e-26 4.499350270957803561e-27 5.759380865404298192e-27 2.606169927701797776e-27
2.234465108718033411e-23 4.893755893647039123e-25 2.537665541960801610e-25 1.409117231367889856e-25 4.533953453778400046e-26 1.805595105592350540e-26 1.389688519288048322e-25 9.235225053075696806e-26 6.094828403066516782e-26 3.876945238055585946e-26 2.596218608377724900e-26 1.727205493881182867e-26 1.139710747180566961e-26 5.075762826764419354e-27 6.458439563700779364e-27 2.921751117271825763e-27
2.783655376836529620e-23 5.936637263578065930e-25 3.051855768253753379e-25 1.687463314828334782e-25 5.406633660930927097e-26 2.151688615950559206e-26 1.620829565093767712e-25 1.068646598609702428e-25 6.978160096730081493e-26 4.398242240570926077e-26 2.929980646934922092e-26 1.943570197091521348e-26 1.279516219945498374e-26 5.693985259296895701e-27 7.194868277285745453e-27 3.254019314516220771e-27
3.452204721358725619e-23 7.175074309125428543e-25 3.658081954834492695e-25 2.014077972471148835e-25 6.424343156618038843e-26 2.554409493752727931e-26 1.887318874519974077e-25 1.234931617859487570e-25 7.976410741514752599e-26 4.975805871102915556e-26 3.292785730510871751e-26 2.175936454603527647e-26 1.428062887049395469e-26 6.348868939577017592e-27 7.959694939269621158e-27 3.598909306616827946e-27
4.259799795557854213e-23 8.634135079020451010e-25 4.367138942821996019e-25 2.394340562210961717e-25 7.602429196300518313e-26 3.019583182557881234e-26 2.193037757321687961e-25 1.424794621391697533e-25 9.102537811734839965e-26 5.615411044723037858e-26 3.686031173990632712e-26 2.423708330955138563e-26 1.584208249008763301e-26 7.034134502775938557e-27 8.740271005684138661e-27 3.950828166862043313e-27
5.227841025627830855e-23 1.033874754354558509e-24 5.188278817459862629e-25 2.832710163301188570e-25 8.952463810751064693e-26 3.551349170236374482e-26 2.541252918573661497e-25 1.640237244000485591e-25 1.036751585675032021e-25 6.322179319661097603e-26 4.111162505269383762e-26 2.686033652681010162e-26 1.746275778885987488e-26 7.740702615576755583e-27 9.521700923072302310e-27 4.302894707704664053e-27
6.377158042696311424e-23 1.230554876415744081e-24 6.127970324275112049e-25 3.332206221226994441e-25 1.048276628178619702e-25 4.152619987502579300e-26 2.934441983918486506e-25 1.882790633014027992e-25 1.178032243796584442e-25 7.100659946735852890e-26 4.570105709490428094e-26 2.962779242107526311e-26 1.912655637951719279e-26 8.459155165454569601e-27 1.028451878929803915e-26 4.646431003084579173e-27
7.728050921110535182e-23 1.454404203157766932e-24 7.187964588764286712e-25 3.893309791025222549e-25 1.219475788982601686e-25 4.824324869722024505e-26 3.373827070822625952e-25 2.153318958461114826e-25 1.334670797655006161e-25 7.954283957452258518e-26 5.064664358228419085e-26 3.254591082791965105e-26 2.082055877442629385e-26 9.181073493223090721e-27 1.100997379870323798e-26 4.972909782054550830e-27
9.297637363750482834e-23 1.704642480239330264e-24 8.360907801326295193e-25 4.511682962395973084e-25 1.407461174840821230e-25 5.560557090595819565e-26 3.858119213111609808e-25 2.451333759939183448e-25 1.506667932758869720e-25 8.884012987329008391e-26 5.595567352019847533e-26 3.561701324944420813e-26 2.253352859263678872e-26 9.897164635333092666e-27 1.167600143583751301e-26 5.272451114553123438e-27
1.109689658149561448e-22 1.978303929336477339e-24 9.628162989454873767e-25 5.177028335456902333e-25 1.609448002998619905e-25 6.351219445065022727e-26 4.384077205455260205e-25 2.775061067184402471e-25 1.693287105410132325e-25 9.888136468810333984e-26 6.163137566413880901e-26 3.884787522330484386e-26 2.427031800200261952e-26 1.060599266286567573e-26 1.226007325536747911e-26 5.535016232211797513e-27
1.312427785764475293e-22 2.269237624820928242e-24 1.095420638446967563e-24 5.870008878261384600e-25 1.820155972139495623e-25 7.176456862756166751e-26 4.942739718767369959e-25 3.119543660910071514e-25 1.892117593645544532e-25 1.095647169307126122e-25 6.763234706630314675e-26 4.222156576534627657e-26 2.603025599710287420e-26 1.130760777597876941e-26 1.274012147782657342e-26 5.750460654077783634e-27
