3.237648060075077408e-14 8.535799727675755083e-15 3.306550167987852910e-15 1.135205575200485221e-15 4.396417941219869193e-16 1.661016692047612995e-16 5.887795850195193772e-17 2.074397091619887794e-17 4.950992298409024542e-18 1.908023521538954024e-18
4.052864363570502149e-14 1.047512708933413514e-14 4.005638078504862948e-15 1.373008511226696725e-15 5.330472303575113282e-16 2.016896336592603095e-16 7.131455470194041934e-17 2.503203342964715538e-17 5.744109203545595832e-18 2.212762045961522280e-18
5.065609362144444382e-14 1.285390902151515413e-14 4.850511220739196374e-15 1.658279733308017453e-15 6.452190149351065667e-16 2.445332952402160835e-16 8.631488436313771317e-17 3.019938950721020507e-17 6.641623252904477979e-18 2.557410960870327026e-18
6.318901498771662864e-14 1.576686405289367437e-14 5.870078072989369148e-15 1.999561180290499092e-15 7.794102627675123273e-16 2.959235474405949150e-16 1.043202906425239869e-16 3.640705664448039389e-17 7.647472260215239132e-18 2.943352710361363867e-18
7.863081742379381164e-14 1.932447244755924323e-14 7.098109035831045103e-15 2.406704725625943948e-15 9.394183284662158620e-16 3.573203029622901422e-16 1.258804624078283844e-16 4.384231496013011024e-17 8.763102139750667327e-18 3.371070156584937028e-18
9.757692021347928988e-14 2.365645301215607352e-14 8.572869943015571502e-15 2.890780630536274244e-15 1.129398446551391857e-15 4.303599779007998240e-16 1.515680418496896919e-16 5.270235757518005206e-17 9.987518121518551929e-18 3.840179203418595074e-18
1.206709963656813847e-13 2.890720198731955208e-14 1.033697387236600577e-14 3.464434774377763971e-15 1.354074472552512217e-15 5.168533191615407481e-16 1.820555684407222042e-16 6.322744511659964251e-17 1.132143649214727679e-17 4.350331037476227205e-18
1.487280817470395130e-13 3.524446991534182662e-14 1.244097874010978015e-14 4.141327854243102336e-15 1.618398805108174768e-15 6.187258395180088046e-16 2.180319317193458239e-16 7.566028889266876411e-17 1.275727990414669281e-17 4.899400179940630317e-18
1.825767074015588612e-13 4.284539622650536422e-14 1.493350821901565176e-14 4.934599484400727072e-15 1.927248394715822524e-15 7.379102824107886494e-16 2.602361724518186077e-16 9.025997161773657461e-17 1.428975836820359596e-17 5.484518300648582848e-18
2.231556497626666840e-13 5.189925600817633492e-14 1.786911261271141364e-14 5.859860051260627848e-15 2.286126656793818171e-15 8.764991901178388504e-16 3.094095204411856669e-16 1.072922217285919725e-16 1.590119679982983296e-17 6.099035070523049731e-18
2.713275247827887033e-13 6.259095223620728964e-14 2.129790913023932221e-14 6.931237639128239108e-15 2.700041160102914969e-15 1.036467860784664016e-15 3.662251916035217186e-16 1.270006146530575002e-16 1.756925913857456160e-17 6.734185385220921743e-18
3.280610799823249467e-13 7.508660045681133123e-14 2.526422075090241903e-14 8.159739867187675732e-15 3.172591529104794203e-15 1.218982271907973030e-15 4.312573908146858518e-16 1.495880115792441339e-16 1.926956858552152804e-17 7.377899295876074044e-18
3.939927009336407506e-13 8.950319128579883780e-14 2.979668139143495947e-14 9.553852825474814501e-15 3.705971131627628644e-15 1.424951533083356853e-15 5.048411293707652260e-16 1.751803177866608963e-16 2.096688938837948242e-17 8.016358027820214097e-18
4.696942687965053132e-13 1.058907177482318873e-13 3.489781942039257470e-14 1.111490265226267587e-14 4.301117363547016472e-15 1.654874656236422479e-15 5.871436733522989701e-16 2.038631434629239510e-16 2.262873878995581676e-17 8.635344830402815733e-18
5.552388024104641614e-13 1.241724731305623038e-13 4.052975745071803675e-14 1.283182619150390651e-14 4.952564199136633736e-15 1.906544109669907527e-15 6.775113790125602106e-16 2.354126837476800816e-16 2.421473651040024297e-17 9.217759995965706644e-18
6.500845983489656954e-13 1.441367208473752140e-13 4.659254193168045204e-14 1.467848484481640461e-14 5.651537123062762771e-15 2.177065887032724203e-15 7.750594458817161618e-16 2.695448307670868709e-16 2.569337004862960319e-17 9.749333174581714807e-18
7.527962482617855005e-13 1.652915717723373582e-13 5.289895180738027962e-14 1.660580669808388106e-14 6.381192738997972470e-15 2.460323091068369260e-15 8.776477752971537256e-16 3.055425969035903967e-16 2.703528695495763074e-17 1.021621078091985630e-17
8.607194606525237922e-13 1.866826737361768464e-13 5.913347856186407325e-14 1.853543187914457933e-14 7.115433550949222806e-15 2.746956088996141646e-15 9.824052665956924439e-16 3.424675786880469208e-16 2.820555354993714550e-17 1.060276184970332257e-17
9.697283506455841814e-13 2.070218962379968585e-13 6.483545381822297341e-14 2.035067550213375950e-14 7.815066485743554299e-15 3.023688476805405913e-15 1.084855219036438663e-15 3.788241341139446821e-16 2.918251887162400733e-17 1.089726139858296591e-17
1.073969689743306287e-12 2.244116519854982430e-13 6.930281892417652870e-14 2.188579929911807648e-14 8.426550804979343167e-15 3.272516473609362488e-15 1.179406409118162001e-15 4.127732533294229064e-16 2.995431986614104993e-17 1.108754476041418715e-17
1.169313781588580367e-12 2.379966215474490633e-13 7.223964553712438186e-14 2.304312852964693628e-14 8.912468218617943077e-15 3.478516868059288322e-15 1.260587676322350638e-15 4.423849178546030882e-16 3.052374636477590109e-17 1.116491189928557522e-17
1.252839227586480985e-12 2.473634403964744781e-13 7.362340750895965637e-14 2.377306020014050614e-14 9.246671227143906815e-15 3.629406836342906831e-15 1.323202310539844401e-15 4.657402912764904399e-16 3.090915483453264490e-17 1.112202477990402333e-17
1.318921097236976463e-12 2.513595659330304713e-13 7.314202707585912312e-14 2.396297470951720026e-14 9.386670634022466269e-15 3.708604418733657708e-15 1.361250353155457937e-15 4.807627267860984806e-16 3.108036261722829935e-17 1.096229025503394442e-17
